name,voters
Acari,9.706 eleitores
Afonso Bezerra,9.095 eleitores
Água Nova,2.500 eleitores
Alexandria,10.683 eleitores
Almino Afonso,4.833 eleitores
Alto do Rodrigues,10.589 eleitores
Angicos,9.764 eleitores
Antônio Martins,5.972 eleitores
Apodi,29.033 eleitores
Areia Branca,20.157 eleitores
Arês,11.152 eleitores
Assú,40.798 eleitores
Baía Formosa,6.518 eleitores
Baraúna,18.621 eleitores
Barcelona,4.368 eleitores
Bento Fernandes,4.919 eleitores
Boa Saúde,7.781 eleitores
Bodó,3.214 eleitores
Bom Jesus,7.563 eleitores
Brejinho,9.337 eleitores
Caiçara do Norte,5.374 eleitores
Caiçara do Rio do Vento,3.917 eleitores
Caicó,41.480 eleitores
Campo Grande,8.473 eleitores
Campo Redondo,8.168 eleitores
Canguaretama,22.173 eleitores
Caraúbas,17.888 eleitores
Carnaúba dos Dantas,6.026 eleitores
Carnaubais,8.445 eleitores
Ceará-Mirim,47.223 eleitores
Cerro Corá,8.771 eleitores
Coronel Ezequiel,5.095 eleitores
Coronel João Pessoa,4.135 eleitores
Cruzeta,7.224 eleitores
Currais Novos,32.746 eleitores
Doutor Severiano,5.679 eleitores
Encanto,4.319 eleitores
Equador,4.432 eleitores
Espírito Santo,6.435 eleitores
Extremoz,22.197 eleitores
Felipe Guerra,6.995 eleitores
Fernando Pedroza,3.310 eleitores
Florânia,8.010 eleitores
Francisco Dantas,2.643 eleitores
Frutuoso Gomes,3.956 eleitores
Galinhos,2.361 eleitores
Goianinha,18.474 eleitores
Governador Dix-Sept Rosado,11.339 eleitores
Grossos,7.949 eleitores
Guamaré,13.224 eleitores
Ielmo Marinho,9.997 eleitores
Ipanguaçu,11.641 eleitores
Ipueira,1.930 eleitores
Itajá,6.206 eleitores
Itaú,5.255 eleitores
Jaçanã,6.393 eleitores
Jandaíra,6.197 eleitores
Janduís,4.677 eleitores
Japi,5.712 eleitores
Jardim de Angicos,2.812 eleitores
Jardim de Piranhas,10.229 eleitores
Jardim do Seridó,10.533 eleitores
João Câmara,26.387 eleitores
João Dias,2.703 eleitores
José da Penha,5.342 eleitores
Jucurutu,15.431 eleitores
Jundiá,3.712 eleitores
Lagoa D'Anta,5.627 eleitores
Lagoa de Pedras,6.482 eleitores
Lagoa de Velhos,3.235 eleitores
Lagoa Nova,12.500 eleitores
Lagoa Salgada,8.542 eleitores
Lajes,9.173 eleitores
Lajes Pintadas,5.073 eleitores
Lucrécia,3.265 eleitores
Luís Gomes,8.163 eleitores
Macaíba,48.828 eleitores
Macau,21.928 eleitores
Major Sales,3.022 eleitores
Marcelino Vieira,6.770 eleitores
Martins,7.189 eleitores
Maxaranguape,9.934 eleitores
Messias Targino,4.326 eleitores
Montanhas,10.109 eleitores
Monte Alegre,15.786 eleitores
Monte das Gameleiras,2.926 eleitores
Mossoró,167.120 eleitores
Natal,534.582 eleitores
Nísia Floresta,19.894 eleitores
Nova Cruz,29.140 eleitores
Olho D'Água do Borges,4.617 eleitores
Ouro Branco,4.255 eleitores
Paraná,3.628 eleitores
Paraú,4.396 eleitores
Parazinho,5.027 eleitores
Parelhas,16.142 eleitores
Parnamirim,108.719 eleitores
Passa e Fica,9.256 eleitores
Passagem,3.682 eleitores
Patu,9.532 eleitores
Pau dos Ferros,19.190 eleitores
Pedra Grande,4.138 eleitores
Pedra Preta,3.336 eleitores
Pedro Avelino,7.140 eleitores
Pedro Velho,12.557 eleitores
Pendências,9.960 eleitores
Pilões,3.488 eleitores
Poço Branco,11.078 eleitores
Portalegre,6.394 eleitores
Porto do Mangue,4.436 eleitores
Pureza,7.015 eleitores
Rafael Fernandes,4.249 eleitores
Rafael Godeiro,3.736 eleitores
Riacho da Cruz,2.859 eleitores
Riacho de Santana,3.377 eleitores
Riachuelo,6.278 eleitores
Rio do Fogo,11.164 eleitores
Rodolfo Fernandes,4.465 eleitores
Ruy Barbosa,3.688 eleitores
Santa Cruz,26.648 eleitores
Santa Maria,4.700 eleitores
Santana do Matos,12.299 eleitores
Santana do Seridó,2.398 eleitores
Santo Antônio,18.799 eleitores
São Bento do Norte,3.506 eleitores
São Bento do Trairí,4.137 eleitores
São Fernando,3.288 eleitores
São Francisco do Oeste,3.839 eleitores
São Gonçalo do Amarante,61.413 eleitores
São João do Sabugi,5.448 eleitores
São José de Mipibu,29.140 eleitores
São José do Campestre,10.640 eleitores
São José do Seridó,4.127 eleitores
São Miguel,19.134 eleitores
São Miguel do Gostoso,8.015 eleitores
São Paulo do Potengi,13.889 eleitores
São Pedro,6.258 eleitores
São Rafael,7.580 eleitores
São Tomé,9.182 eleitores
São Vicente,5.187 eleitores
Senador Elói de Souza,4.866 eleitores
Senador Georgino Avelino,3.986 eleitores
Serra Caiada,7.929 eleitores
Serra de São Bento,5.742 eleitores
Serra do Mel,9.522 eleitores
Serra Negra do Norte,6.378 eleitores
Serrinha,6.905 eleitores
Serrinha dos Pintos,4.256 eleitores
Severiano Melo,7.424 eleitores
Sítio Novo,5.035 eleitores
Taboleiro Grande,2.719 eleitores
Taipu,10.678 eleitores
Tangará,12.347 eleitores
Tenente Ananias,8.147 eleitores
Tenente Laurentino Cruz,4.912 eleitores
Tibau,4.597 eleitores
Tibau do Sul,9.993 eleitores
Timbaúba dos Batistas,2.447 eleitores
Touros,25.392 eleitores
Triunfo Potiguar,4.076 eleitores
Umarizal,9.162 eleitores
Upanema,11.025 eleitores
Várzea,5.156 eleitores
Venha-Ver,3.993 eleitores
Vera Cruz,9.506 eleitores
Viçosa,1.832 eleitores
Vila Flor,2.582 eleitores
