uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
AC,Acrelândia,9506,70,137,9
AC,Assis Brasil,5505,40,112,9
AC,Brasiléia,17613,239,252,11
AC,Bujari,7888,67,166,9
AC,Capixaba,7882,44,104,9
AC,Cruzeiro do Sul,54101,488,686,14
AC,Epitaciolândia,11559,129,189,9
AC,Feijó,19739,115,448,13
AC,Jordão,4724,9,134,9
AC,Mâncio Lima,11981,29,192,11
AC,Manoel Urbano,6711,43,236,9
AC,Marechal Thaumaturgo,9458,29,170,9
AC,Plácido de Castro,13586,91,178,11
AC,Porto Acre,11331,100,217,9
AC,Porto Walter,5884,23,92,9
AC,Rio Branco,241196,5614,5864,17
AC,Rodrigues Alves,11062,39,222,9
AC,Santa Rosa do Purus,3157,16,63,9
AC,Sena Madureira,27557,205,407,13
AC,Senador Guiomard,16206,173,198,11
AC,Tarauacá,24900,191,617,11
AC,Xapuri,10906,71,308,9
