uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
AL,Água Branca,14518,117,265,11
AL,Anadia,12558,159,333,11
AL,Arapiraca,135998,3495,3936,17
AL,Atalaia,30194,417,752,13
AL,Barra de Santo Antônio,11680,152,207,9
AL,Barra de São Miguel,6520,51,98,9
AL,Batalha,12020,78,235,11
AL,Belém,4780,73,121,9
AL,Belo Monte,5154,24,103,9
AL,Boca da Mata,19640,277,331,11
AL,Branquinha,8158,100,262,9
AL,Cacimbinhas,7929,78,295,9
AL,Cajueiro,14437,167,400,11
AL,Campestre,5423,65,144,9
AL,Campo Alegre,23369,330,482,15
AL,Campo Grande,8106,113,280,9
AL,Canapi,13019,113,865,11
AL,Capela,12753,153,346,11
AL,Carneiros,6388,60,193,9
AL,Chã Preta,5873,52,201,9
AL,Coité do Nóia,8346,86,263,9
AL,Colônia Leopoldina,14574,257,405,11
AL,Coqueiro Seco,4508,61,100,9
AL,Coruripe,38541,753,1884,15
AL,Craíbas,17375,204,454,11
AL,Delmiro Gouveia,36137,436,934,11
AL,Dois Riachos,8517,58,230,9
AL,Estrela de Alagoas,11658,134,475,11
AL,Feira Grande,16651,204,409,11
AL,Feliz Deserto,3504,33,89,9
AL,Flexeiras,8541,97,216,9
AL,Girau do Ponciano,25167,346,534,9
AL,Ibateguara,10805,158,337,11
AL,Igaci,19184,238,477,11
AL,Igreja Nova,16720,228,345,11
AL,Inhapi,12219,130,612,11
AL,Jacaré dos Homens,4748,23,113,9
AL,Jacuípe,5414,53,123,9
AL,Japaratinga,6308,80,152,9
AL,Jaramataia,4548,26,107,9
AL,Jequiá da Praia,7344,33,107,9
AL,Joaquim Gomes,12859,143,453,11
AL,Jundiá,4194,34,128,9
AL,Junqueiro,18463,289,360,11
AL,Lagoa da Canoa,13609,199,341,11
AL,Limoeiro de Anadia,17189,198,428,11
AL,Maceió,579962,18559,41612,21
AL,Major Isidoro,14314,189,352,11
AL,Mar Vermelho,3266,33,111,9
AL,Maragogi,18853,363,334,11
AL,Maravilha,7692,69,227,9
AL,Marechal Deodoro,34816,584,906,13
AL,Maribondo,10214,161,281,9
AL,Mata Grande,16524,188,1394,11
AL,Matriz de Camaragibe,17896,263,373,11
AL,Messias,12555,146,302,11
AL,Minador do Negrão,4428,35,173,9
AL,Monteirópolis,5697,42,104,9
AL,Murici,18670,491,825,11
AL,Novo Lino,9834,104,231,9
AL,Olho D'Água das Flores,14424,136,315,11
AL,Olho D'Água do Casado,6811,41,278,9
AL,Olho D'Água Grande,4364,52,111,9
AL,Olivença,8712,80,270,9
AL,Ouro Branco,7747,51,196,9
AL,Palestina,4258,16,107,9
AL,Palmeira dos Índios,49320,959,1308,15
AL,Pão de Açúcar,17904,171,279,11
AL,Pariconha,7954,78,232,9
AL,Paripueira,9439,155,432,9
AL,Passo de Camaragibe,11135,129,241,9
AL,Paulo Jacinto,6127,88,179,9
AL,Penedo,40897,632,769,15
AL,Piaçabuçu,12891,150,286,11
AL,Pilar,25104,421,665,13
AL,Pindoba,2479,19,60,9
AL,Piranhas,17213,128,437,11
AL,Poço das Trincheiras,9693,68,210,9
AL,Porto Calvo,19892,288,346,11
AL,Porto de Pedras,6640,82,98,9
AL,Porto Real do Colégio,14681,222,294,11
AL,Quebrangulo,9606,84,236,9
AL,Rio Largo,52328,1544,1621,11
AL,Roteiro,4994,42,91,9
AL,Santa Luzia do Norte,5658,88,145,9
AL,Santana do Ipanema,30078,326,1030,11
AL,Santana do Mundaú,8259,118,285,9
AL,São Brás,5852,56,135,9
AL,São José da Laje,16477,250,991,9
AL,São José da Tapera,20093,168,432,13
AL,São Luís do Quitunde,21707,359,413,13
AL,São Miguel dos Campos,38370,577,797,15
AL,São Miguel dos Milagres,6552,73,175,9
AL,São Sebastião,24135,369,1128,13
AL,Satuba,9916,176,245,9
AL,Senador Rui Palmeira,8743,53,202,9
AL,Tanque D'Arca,5154,88,133,9
AL,Taquarana,13315,232,299,11
AL,Teotônio Vilela,27739,416,635,13
AL,Traipu,17188,150,412,11
AL,União dos Palmares,43032,696,979,15
AL,Viçosa,19278,383,470,11
