uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
AM,Alvarães,9727,29,145,9
AM,Amaturá,5467,30,128,9
AM,Anamã,6970,25,99,9
AM,Anori,9663,27,372,11
AM,Apuí,10164,56,114,11
AM,Atalaia do Norte,7687,16,166,11
AM,Autazes,23840,108,265,13
AM,Barcelos,10025,51,555,11
AM,Barreirinha,18134,81,743,11
AM,Benjamin Constant,19481,76,181,13
AM,Beruri,11193,32,210,9
AM,Boa Vista do Ramos,10434,32,87,9
AM,Boca do Acre,20292,118,671,11
AM,Borba,20147,82,1196,9
AM,Caapiranga,8125,27,225,9
AM,Canutama,8323,40,410,9
AM,Carauari,18603,51,260,11
AM,Careiro,19786,136,403,13
AM,Careiro da Várzea,14411,61,596,11
AM,Coari,48681,152,555,15
AM,Codajás,14506,60,159,11
AM,Eirunepé,20882,127,1356,13
AM,Envira,11244,37,569,11
AM,Fonte Boa,14677,58,534,11
AM,Guajará,9392,38,185,9
AM,Humaitá,28782,220,1199,15
AM,Ipixuna,10677,36,311,11
AM,Iranduba,26980,265,927,13
AM,Itacoatiara,62343,587,1654,15
AM,Itamarati,6529,13,110,9
AM,Itapiranga,7128,19,73,9
AM,Japurá,4438,6,260,9
AM,Juruá,6993,28,281,9
AM,Jutaí,11728,58,213,11
AM,Lábrea,23231,100,920,13
AM,Manacapuru,61793,512,1067,15
AM,Manaquiri,12920,47,136,11
AM,Manaus,1257129,43338,69373,41
AM,Manicoré,28111,166,828,15
AM,Maraã,9477,25,2502,11
AM,Maués,30117,169,997,15
AM,Nhamundá,12851,35,139,11
AM,Nova Olinda do Norte,16672,79,165,13
AM,Novo Airão,9899,37,186,9
AM,Novo Aripuanã,11989,54,197,11
AM,Parintins,64044,720,1130,11
AM,Pauini,9851,34,461,11
AM,Presidente Figueiredo,21006,156,1027,11
AM,Rio Preto da Eva,14112,116,192,11
AM,Santa Isabel do Rio Negro,7467,41,98,9
AM,Santo Antônio do Içá,13159,39,233,11
AM,São Gabriel da Cachoeira,28756,206,480,13
AM,São Paulo de Olivença,15918,82,939,9
AM,São Sebastião do Uatumã,6153,30,69,9
AM,Silves,6970,21,45,9
AM,Tabatinga,30111,236,1793,15
AM,Tapauá,12122,33,278,11
AM,Tefé,39297,294,1418,15
AM,Tonantins,8913,22,101,11
AM,Uarini,7391,24,210,9
AM,Urucará,11395,43,246,11
AM,Urucurituba,12020,45,97,11
