uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
AP,Água Branca do Amapari,8316,36,123,9
AP,Amapá,6026,27,155,9
AP,Calçoene,7423,47,69,9
AP,Cutias,4062,7,35,9
AP,Ferreira Gomes,7133,12,41,9
AP,Itaubal,5522,16,244,9
AP,Laranjal do Jari,27718,309,960,9
AP,Macapá,277688,5763,13201,23
AP,Mazagão,14146,73,122,11
AP,Oiapoque,18261,179,251,11
AP,Porto Grande,13176,88,150,11
AP,Pracuúba,3351,9,19,9
AP,Santana,73096,818,1134,15
AP,Serra do Navio,3454,18,30,9
AP,Tartarugalzinho,8514,33,54,9
AP,Vitória do Jari,9560,36,110,9
