uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
BA,Abaíra,6931,67,179,9
BA,Abaré,12746,72,263,11
BA,Acajutiba,11262,154,231,9
BA,Adustina,10859,116,261,11
BA,Água Fria,12435,139,600,11
BA,Aiquara,3787,25,266,9
BA,Alagoinhas,94177,2347,4601,17
BA,Alcobaça,17660,169,538,11
BA,Almadina,5352,27,185,9
BA,Amargosa,25553,444,795,13
BA,Amélia Rodrigues,18439,304,464,11
BA,América Dourada,13130,88,156,11
BA,Anagé,18214,155,764,11
BA,Andaraí,10500,104,419,9
BA,Andorinha,11247,111,282,9
BA,Angical,12153,100,207,9
BA,Anguera,9445,128,246,9
BA,Antas,10837,69,218,11
BA,Antônio Cardoso,10759,131,204,9
BA,Antônio Gonçalves,8298,68,657,9
BA,Aporá,13538,136,293,11
BA,Apuarema,5871,41,110,9
BA,Araçás,8877,93,264,9
BA,Aracatu,13118,58,249,9
BA,Araci,40715,326,1497,15
BA,Aramari,8366,81,287,9
BA,Arataca,5569,48,152,9
BA,Aratuípe,8161,78,250,9
BA,Aurelino Leal,9213,74,317,9
BA,Baianópolis,11645,118,312,9
BA,Baixa Grande,16154,225,475,11
BA,Banzaê,10269,72,171,9
BA,Barra,36258,299,804,13
BA,Barra da Estiva,18852,153,327,11
BA,Barra do Choça,27386,323,1000,13
BA,Barra do Mendes,12291,109,305,9
BA,Barra do Rocha,3887,40,152,9
BA,Barreiras,94612,1303,2321,19
BA,Barro Alto,9785,97,406,9
BA,Barro Preto,6168,63,186,9
BA,Barrocas,13178,64,241,9
BA,Belmonte,16115,143,471,11
BA,Belo Campo,15147,137,727,11
BA,Biritinga,12317,130,334,9
BA,Boa Nova,13796,89,377,11
BA,Boa Vista do Tupim,13516,91,433,11
BA,Bom Jesus da Lapa,45763,631,1158,15
BA,Bom Jesus da Serra,9340,70,129,9
BA,Boninal,10510,84,226,9
BA,Bonito,12273,63,189,9
BA,Boquira,16263,114,401,11
BA,Botuporã,9858,51,201,9
BA,Brejões,11462,158,576,9
BA,Brejolândia,8171,58,134,9
BA,Brotas de Macaúbas,9200,76,241,9
BA,Brumado,47845,896,2373,13
BA,Buerarema,11641,105,386,11
BA,Buritirama,15103,80,334,11
BA,Caatiba,8334,60,194,9
BA,Cabaceiras do Paraguaçu,10803,116,298,11
BA,Cachoeira,25313,322,891,13
BA,Caculé,16304,186,519,11
BA,Caem,8580,65,187,9
BA,Caetanos,9985,46,282,9
BA,Caetité,39268,499,1240,15
BA,Cafarnaum,13347,144,215,11
BA,Cairu,13352,105,282,11
BA,Caldeirão Grande,9574,73,163,9
BA,Camacan,18115,194,627,13
BA,Camaçari,158125,3665,5513,21
BA,Camamu,25352,244,750,13
BA,Campo Alegre de Lourdes,22588,119,987,11
BA,Campo Formoso,51338,564,1057,15
BA,Canápolis,8345,71,214,9
BA,Canarana,17941,146,1138,11
BA,Canavieiras,21113,200,1311,11
BA,Candeal,7294,56,292,9
BA,Candeias,61488,871,1613,17
BA,Candiba,10771,122,252,9
BA,Cândido Sales,16789,133,372,11
BA,Cansanção,27016,221,529,13
BA,Canudos,12615,80,262,11
BA,Capela do Alto Alegre,9401,106,259,9
BA,Capim Grosso,22439,356,612,11
BA,Caraíbas,8430,64,202,9
BA,Caravelas,14330,120,628,11
BA,Cardeal da Silva,7597,110,281,9
BA,Carinhanha,21628,136,934,11
BA,Casa Nova,51131,432,864,15
BA,Castro Alves,22914,294,485,11
BA,Catolândia,3511,15,249,9
BA,Catu,40144,1058,1316,13
BA,Caturama,7899,68,175,9
BA,Central,13184,120,291,11
BA,Chorrochó,8962,49,200,9
BA,Cícero Dantas,25188,332,470,13
BA,Cipó,13562,107,257,11
BA,Coaraci,17051,146,359,11
BA,Cocos,14178,111,263,11
BA,Conceição da Feira,15822,214,326,11
BA,Conceição do Almeida,15122,228,298,11
BA,Conceição do Coité,49812,686,1024,15
BA,Conceição do Jacuípe,23447,494,662,13
BA,Conde,17485,156,296,11
BA,Condeúba,15501,164,367,11
BA,Contendas do Sincorá,3796,19,142,9
BA,Coração de Maria,20949,349,511,11
BA,Cordeiros,6959,67,174,9
BA,Coribe,11656,137,235,9
BA,Coronel João Sá,14138,208,850,11
BA,Correntina,26689,218,1348,13
BA,Cotegipe,11453,74,1408,9
BA,Cravolândia,4477,96,123,9
BA,Crisópolis,17088,156,508,11
BA,Cristópolis,12035,87,355,9
BA,Cruz das Almas,43520,766,825,15
BA,Curaçá,25186,207,398,13
BA,Dário Meira,7149,75,235,9
BA,Dias D'Ávila,46577,1158,1828,15
BA,Dom Basílio,9982,127,200,9
BA,Dom Macedo Costa,3665,30,102,9
BA,Elísio Medrado,7768,83,175,9
BA,Encruzilhada,13986,120,478,11
BA,Entre Rios,31728,456,830,13
BA,Érico Cardoso,9270,86,228,9
BA,Esplanada,24515,305,541,13
BA,Euclides da Cunha,42040,391,1629,15
BA,Eunápolis,76567,1083,1703,17
BA,Fátima,15269,159,289,11
BA,Feira da Mata,5083,17,47,9
BA,Feira de Santana,397590,11683,15676,21
BA,Filadélfia,14142,112,419,11
BA,Firmino Alves,4892,44,246,9
BA,Floresta Azul,7660,62,244,9
BA,Formosa do Rio Preto,18302,121,283,11
BA,Gandu,21168,295,804,13
BA,Gavião,4423,29,125,9
BA,Gentio do Ouro,8895,38,139,9
BA,Glória,12933,146,1714,11
BA,Gongogi,4885,37,219,9
BA,Governador Mangabeira,14475,326,379,11
BA,Guajeru,7677,60,152,9
BA,Guanambi,60408,871,1847,15
BA,Guaratinga,15905,161,862,11
BA,Heliópolis,12211,78,250,9
BA,Iaçu,22175,224,990,11
BA,Ibiassucê,8882,86,198,9
BA,Ibicaraí,18496,140,390,11
BA,Ibicoara,13441,147,351,11
BA,Ibicuí,11041,98,301,9
BA,Ibipeba,13641,85,321,11
BA,Ibipitanga,12882,67,284,11
BA,Ibiquera,3543,22,117,9
BA,Ibirapitanga,14551,127,575,11
BA,Ibirapuã,6935,54,156,9
BA,Ibirataia,13808,197,473,11
BA,Ibitiara,11611,72,533,11
BA,Ibititá,14359,118,305,11
BA,Ibotirama,18840,194,492,11
BA,Ichu,5289,31,127,9
BA,Igaporã,11307,111,240,11
BA,Igrapiúna,10515,122,306,9
BA,Iguaí,19989,211,726,11
BA,Ilhéus,135424,2095,3966,19
BA,Inhambupe,25502,431,679,13
BA,Ipecaetá,13759,108,243,11
BA,Ipiaú,28094,443,1340,13
BA,Ipirá,46069,628,1955,15
BA,Ipupiara,7937,65,175,9
BA,Irajuba,4877,49,144,9
BA,Iramaia,9205,83,220,9
BA,Iraquara,16456,135,1771,11
BA,Irará,23335,295,563,11
BA,Irecê,45251,740,1421,15
BA,Itabela,22667,332,690,11
BA,Itaberaba,41981,681,1552,15
BA,Itabuna,150221,2608,5715,21
BA,Itacaré,15194,162,867,11
BA,Itaeté,10417,74,312,9
BA,Itagi,9005,95,305,9
BA,Itagibá,10254,122,217,11
BA,Itagimirim,6479,39,188,9
BA,Itaguaçu da Bahia,10003,48,185,9
BA,Itaju do Colônia,5379,22,172,9
BA,Itajuípe,17662,151,932,11
BA,Itamaraju,43686,528,1327,15
BA,Itamari,6867,54,210,9
BA,Itambé,18808,145,444,11
BA,Itanagra,5151,54,80,9
BA,Itanhém,16063,130,436,9
BA,Itaparica,17506,165,499,9
BA,Itapé,9663,110,276,9
BA,Itapebi,8515,44,195,9
BA,Itapetinga,46322,625,1101,15
BA,Itapicuru,23709,238,685,13
BA,Itapitanga,6915,38,128,9
BA,Itaquara,5995,65,237,9
BA,Itarantim,13990,141,262,11
BA,Itatim,11544,145,298,9
BA,Itiruçu,9626,130,311,9
BA,Itiúba,29093,325,585,13
BA,Itororó,16890,123,576,11
BA,Ituaçu,14505,136,359,11
BA,Ituberá,19796,229,446,11
BA,Iuiu,8542,48,131,9
BA,Jaborandi,8001,78,275,9
BA,Jacaraci,12074,85,371,9
BA,Jacobina,57289,961,1655,17
BA,Jaguaquara,30923,481,1278,15
BA,Jaguarari,22206,202,436,13
BA,Jaguaripe,12928,165,422,11
BA,Jandaíra,8476,75,522,9
BA,Jequié,109526,1977,6995,19
BA,Jeremoabo,26193,198,729,13
BA,Jiquiriçá,10961,155,236,11
BA,Jitaúna,10973,85,684,9
BA,João Dourado,17681,151,265,11
BA,Juazeiro,146385,1862,2776,21
BA,Jucuruçu,8493,68,302,9
BA,Jussara,12491,113,337,11
BA,Jussari,5222,38,141,9
BA,Jussiape,6715,63,128,9
BA,Lafaiete Coutinho,3840,33,56,9
BA,Lagoa Real,10879,68,398,9
BA,Laje,19400,235,857,11
BA,Lajedão,5145,23,116,9
BA,Lajedinho,3254,26,140,9
BA,Lajedo do Tabocal,6333,75,142,9
BA,Lamarão,8125,73,210,9
BA,Lapão,20670,185,387,11
BA,Lauro de Freitas,118561,3332,6571,17
BA,Lençóis,7454,76,244,9
BA,Licínio de Almeida,9324,91,260,9
BA,Livramento de Nossa Senhora,33728,400,766,13
BA,Luís Eduardo Magalhães,46518,656,827,15
BA,Macajuba,10072,80,629,9
BA,Macarani,13940,138,323,11
BA,Macaúbas,34266,380,1164,15
BA,Macururé,6682,28,127,9
BA,Madre de Deus,13234,102,196,11
BA,Maetinga,6897,67,190,9
BA,Maiquinique,7711,79,222,9
BA,Mairi,14695,181,336,11
BA,Malhada,13241,74,193,11
BA,Malhada de Pedras,7536,46,347,9
BA,Manoel Vitorino,12355,77,292,9
BA,Mansidão,10131,39,168,9
BA,Maracás,21030,364,566,11
BA,Maragogipe,33480,321,633,13
BA,Maraú,13400,116,413,11
BA,Marcionílio Souza,7984,67,295,9
BA,Mascote,9514,55,362,9
BA,Mata de São João,36595,653,955,13
BA,Matina,9331,60,412,9
BA,Medeiros Neto,18174,183,535,11
BA,Miguel Calmon,21758,212,903,11
BA,Milagres,9122,68,200,9
BA,Mirangaba,12091,83,248,11
BA,Mirante,7661,48,193,9
BA,Monte Santo,43025,349,849,15
BA,Morpará,7285,40,161,9
BA,Morro do Chapéu,23557,191,553,13
BA,Mortugaba,9615,58,163,9
