uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
CE,Abaiara,6467,88,166,9
CE,Acarape,12114,127,1418,9
CE,Acaraú,44679,595,766,15
CE,Acopiara,38623,685,1696,15
CE,Aiuaba,11477,84,476,11
CE,Alcântaras,8744,67,224,9
CE,Altaneira,5170,41,141,9
CE,Alto Santo,12681,111,241,11
CE,Amontada,29119,279,525,13
CE,Antonina do Norte,7100,52,487,9
CE,Apuiarés,12729,150,232,9
CE,Aquiraz,51365,892,1433,15
CE,Aracati,54818,923,907,16
CE,Aracoiaba,24154,217,367,11
CE,Ararendá,9175,52,241,9
CE,Araripe,17989,106,349,11
CE,Aratuba,10037,138,788,9
CE,Arneiroz,7047,41,173,9
CE,Assaré,19233,217,373,11
CE,Aurora,21147,260,430,11
CE,Baixio,5518,40,149,9
CE,Banabuiú,13235,99,663,11
CE,Barbalha,39501,988,1364,15
CE,Barreira,18691,145,309,11
CE,Barro,17146,262,394,11
CE,Barroquinha,12974,90,301,9
CE,Baturité,23969,490,552,13
CE,Beberibe,43090,660,702,13
CE,Bela Cruz,18298,245,418,13
CE,Boa Viagem,43222,445,782,15
CE,Brejo Santo,31098,654,778,13
CE,Camocim,41199,666,1533,15
CE,Campos Sales,21108,209,1160,11
CE,Canindé,58159,713,1475,15
CE,Capistrano,14227,201,268,11
CE,Caridade,14587,154,310,11
CE,Cariré,13134,164,434,11
CE,Caririaçu,20625,176,329,11
CE,Cariús,13391,195,226,11
CE,Carnaubal,14297,99,250,11
CE,Cascavel,55351,1143,1214,10
CE,Catarina,9466,46,276,11
CE,Catunda,8713,63,341,9
CE,Caucaia,213181,9008,18904,23
CE,Cedro,21056,240,1116,11
CE,Chaval,11154,119,208,9
CE,Choró,11931,109,497,9
CE,Chorozinho,17572,228,755,11
CE,Coreaú,19473,158,287,9
CE,Crateús,52758,723,2051,15
CE,Crato,76927,1730,3025,19
CE,Croatá,14978,122,240,11
CE,Cruz,20830,168,664,11
CE,Deputado Irapuan Pinheiro,7208,55,221,9
CE,Ererê,5428,34,98,9
CE,Eusébio,38491,732,1008,15
CE,Farias Brito,14208,178,577,11
CE,Forquilha,16961,340,289,11
CE,Fortaleza,1692712,35443,82342,43
CE,Fortim,13561,98,553,9
CE,Frecheirinha,10665,136,838,9
CE,General Sampaio,7500,58,169,9
CE,Graça,13222,70,626,11
CE,Granja,41976,571,874,13
CE,Granjeiro,4870,14,92,9
CE,Groaíras,7841,133,219,9
CE,Guaiúba,19607,238,381,11
CE,Guaraciaba do Norte,32950,395,568,13
CE,Guaramiranga,5728,60,130,9
CE,Hidrolândia,16570,85,196,11
CE,Horizonte,48561,1015,980,15
CE,Ibaretama,11854,125,224,9
CE,Ibiapina,15896,325,436,11
CE,Ibicuitinga,12138,117,174,9
CE,Icapuí,16393,182,757,11
CE,Icó,54121,526,748,15
CE,Iguatu,60396,1186,1349,17
CE,Independência,22117,245,354,11
CE,Ipaporanga,8638,57,939,9
CE,Ipaumirim,9618,107,278,9
CE,Ipu,33808,315,940,13
CE,Ipueiras,33489,364,731,13
CE,Iracema,11761,95,154,9
CE,Irauçuba,15168,211,274,11
CE,Itaiçaba,6804,65,102,9
CE,Itaitinga,25282,471,672,13
CE,Itapagé,33040,782,699,15
CE,Itapipoca,79312,1105,1250,17
CE,Itapiúna,14147,139,200,11
CE,Itarema,27638,294,675,13
CE,Itatira,18186,113,532,11
CE,Jaguaretama,15977,136,450,11
CE,Jaguaribara,8172,75,169,9
CE,Jaguaribe,30495,337,1120,13
CE,Jaguaruana,28279,472,490,13
CE,Jardim,19902,259,566,11
CE,Jati,6266,81,227,9
CE,Jijoca de Jericoacoara,14102,126,354,11
CE,Juazeiro do Norte,160170,4768,6622,21
CE,Jucás,17656,201,431,11
CE,Lavras da Mangabeira,25664,287,651,13
CE,Limoeiro do Norte,40182,801,2149,15
CE,Madalena,14152,106,777,11
CE,Maracanaú,138032,3156,5064,21
CE,Maranguape,75927,1208,2074,19
CE,Marco,19622,280,427,11
CE,Martinópole,9641,73,183,9
CE,Massapê,29655,575,525,13
CE,Mauriti,35510,354,956,13
CE,Meruoca,10078,180,327,9
