uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
ES,Afonso Cláudio,25278,406,483,13
ES,Água Doce do Norte,9635,89,227,9
ES,Águia Branca,7496,79,53,9
ES,Alegre,22601,515,525,13
ES,Alfredo Chaves,11969,176,209,9
ES,Alto Rio Novo,6310,61,163,9
ES,Anchieta,23315,246,394,11
ES,Apiacá,6021,57,89,9
ES,Aracruz,67589,1459,1924,17
ES,Atílio Vivácqua,8837,110,111,9
ES,Baixo Guandu,22058,323,358,13
ES,Barra de São Francisco,33842,425,376,13
ES,Boa Esperança,9973,116,265,9
ES,Bom Jesus do Norte,6926,82,210,9
ES,Brejetuba,9605,129,131,9
ES,Cachoeiro de Itapemirim,136943,4644,4282,19
ES,Cariacica,255477,16376,22073,19
ES,Castelo,28155,594,648,13
ES,Colatina,88039,2814,2940,15
ES,Conceição da Barra,23132,292,435,11
ES,Conceição do Castelo,9449,221,217,9
ES,Divino de São Lourenço,3681,35,255,9
ES,Domingos Martins,25739,998,628,13
ES,Dores do Rio Preto,5700,89,98,9
ES,Ecoporanga,19167,169,476,11
ES,Fundão,14423,255,348,11
ES,Governador Lindenberg,8956,102,102,9
ES,Guaçuí,21752,421,595,11
ES,Guarapari,88239,2545,6972,17
ES,Ibatiba,18133,276,228,9
ES,Ibiraçu,9088,122,239,9
ES,Ibitirama,6251,99,96,9
ES,Iconha,10957,147,314,9
ES,Irupi,10671,191,162,10
ES,Itaguaçu,10982,163,178,9
ES,Itapemirim,27813,310,360,11
ES,Itarana,9074,145,140,9
ES,Iúna,21092,501,344,11
ES,Jaguaré,20691,309,220,11
ES,Jerônimo Monteiro,9768,114,172,9
ES,João Neiva,12162,214,357,11
ES,Laranja da Terra,8254,116,126,9
ES,Linhares,110140,3302,2765,13
ES,Mantenópolis,11056,83,258,11
ES,Marataízes,27783,429,574,13
ES,Marechal Floriano,11410,318,204,9
ES,Marilândia,9230,165,209,9
ES,Mimoso do Sul,18280,336,314,11
ES,Montanha,14662,173,175,9
ES,Mucurici,4851,30,80,9
ES,Muniz Freire,13759,226,200,9
ES,Muqui,11095,200,237,9
ES,Nova Venécia,37855,940,808,13
ES,Pancas,16536,164,470,11
ES,Pedro Canário,18144,181,275,11
ES,Pinheiros,17714,210,402,11
ES,Piúma,16085,188,264,11
ES,Ponto Belo,6046,40,588,9
ES,Presidente Kennedy,12270,81,110,9
ES,Rio Bananal,15199,304,316,11
ES,Rio Novo do Sul,8598,123,769,9
ES,Santa Leopoldina,9810,147,176,9
ES,Santa Maria de Jetibá,27940,642,507,13
ES,Santa Teresa,18363,509,433,11
ES,São Domingos do Norte,6802,92,93,9
ES,São Gabriel da Palha,25445,391,550,13
ES,São José do Calçado,9328,142,219,9
ES,São Mateus,80238,1787,2088,11
ES,São Roque do Canaã,8728,116,134,9
ES,Serra,308151,11529,18930,23
ES,Sooretama,18868,499,637,9
ES,Vargem Alta,15385,302,207,11
ES,Venda Nova do Imigrante,17611,494,858,9
ES,Viana,45920,1186,1182,11
ES,Vila Pavão,6772,80,87,9
ES,Vila Valério,11606,106,139,9
ES,Vila Velha,316619,15781,23388,17
ES,Vitória,232829,8091,14098,15
