uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
GO,Abadia de Goiás,8008,81,158,9
GO,Abadiânia,10668,96,140,11
GO,Acreúna,16448,188,275,11
GO,Adelândia,3044,19,51,9
GO,Água Fria de Goiás,4473,29,91,9
GO,Água Limpa,2236,16,83,9
GO,Águas Lindas de Goiás,88002,2189,2375,19
GO,Alexânia,19354,267,917,11
GO,Aloândia,2110,20,61,9
GO,Alto Horizonte,5340,17,33,9
GO,Alto Paraíso de Goiás,5734,35,217,9
GO,Alvorada do Norte,6059,54,133,9
GO,Amaralina,2812,16,52,9
GO,Americano do Brasil,5515,28,70,9
GO,Amorinópolis,3897,28,56,9
GO,Anápolis,260567,10378,19941,23
GO,Anhangüera,1093,4,8,9
GO,Anicuns,17177,185,257,11
GO,Aparecida de Goiânia,280849,10307,14717,25
GO,Aparecida do Rio Doce,2898,14,52,9
GO,Aporé,2838,24,79,9
GO,Araçu,4512,18,52,9
GO,Aragarças,14765,200,259,11
GO,Aragoiânia,7642,87,153,9
GO,Araguapaz,5819,22,122,9
GO,Arenópolis,3008,16,43,9
GO,Aruanã,5800,37,78,9
GO,Aurilândia,3192,14,23,9
GO,Avelinópolis,3773,19,41,9
GO,Baliza,3401,17,31,9
GO,Barro Alto,8346,42,128,9
GO,Bela Vista de Goiás,20478,363,700,11
GO,Bom Jardim de Goiás,7508,44,61,9
GO,Bom Jesus de Goiás,16748,223,176,11
GO,Bonfinópolis,6495,69,119,9
GO,Bonópolis,2981,7,36,9
GO,Brazabrantes,3124,32,42,9
GO,Britânia,5033,23,56,9
GO,Buriti Alegre,7657,83,113,9
GO,Buriti de Goiás,3230,11,30,9
GO,Buritinópolis,3166,11,49,9
GO,Cabeceiras,6430,71,81,9
GO,Cachoeira Alta,7172,61,97,9
GO,Cachoeira de Goiás,1689,8,9,9
GO,Cachoeira Dourada,7079,79,113,9
GO,Caçu,10012,91,152,9
GO,Caiapônia,12456,91,204,11
GO,Caldas Novas,52828,1392,2103,15
GO,Caldazinha,3034,21,52,9
GO,Campestre de Goiás,3621,14,41,9
GO,Campinaçu,3824,11,36,9
GO,Campinorte,8463,76,132,9
GO,Campo Alegre de Goiás,4878,34,61,9
GO,Campo Limpo de Goiás,5559,37,237,9
GO,Campos Belos,12929,173,339,11
GO,Campos Verdes,4691,22,105,9
GO,Carmo do Rio Verde,7421,62,129,9
GO,Castelândia,3497,17,63,9
GO,Catalão,65342,1313,2001,17
GO,Caturaí,4128,32,76,9
GO,Cavalcante,7612,34,370,9
GO,Ceres,16417,239,312,11
GO,Cezarina,7096,64,162,9
GO,Chapadão do Céu,6542,104,112,9
GO,Cidade Ocidental,33440,1063,852,15
GO,Cocalzinho de Goiás,14634,213,393,11
GO,Colinas do Sul,3888,17,38,9
GO,Córrego do Ouro,2788,10,30,9
GO,Corumbá de Goiás,7312,95,156,9
GO,Corumbaíba,6046,62,194,9
GO,Cristalina,33443,980,1697,13
GO,Cristianópolis,3147,24,53,9
GO,Crixás,12645,134,491,11
GO,Cromínia,3719,28,74,9
GO,Cumari,2406,22,22,9
GO,Damianópolis,3362,29,139,9
GO,Damolândia,3333,32,93,9
GO,Davinópolis,3182,34,49,9
GO,Diorama,2493,11,38,9
GO,Divinópolis de Goiás,4971,43,753,9
GO,Doverlândia,5903,28,80,9
GO,Edealina,3801,22,35,9
GO,Edéia,8849,81,133,9
GO,Estrela do Norte,2671,11,39,9
GO,Faina,6050,39,92,9
GO,Fazenda Nova,5590,28,64,9
GO,Firminópolis,7611,50,388,9
GO,Flores de Goiás,7195,47,131,9
GO,Formosa,71871,2390,2605,17
GO,Formoso,3848,29,57,9
GO,Gameleira de Goiás,3272,15,203,9
GO,Goianápolis,9977,75,122,9
GO,Goiandira,4419,48,193,9
GO,Goianésia,46512,1020,1595,15
GO,Goiânia,957161,19253,53844,35
