uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
MA,Açailândia,66412,931,950,17
MA,Afonso Cunha,6291,27,161,9
MA,Água Doce do Maranhão,11411,74,169,9
MA,Alcântara,17712,126,267,11
MA,Aldeias Altas,17975,127,430,11
MA,Altamira do Maranhão,7808,93,118,9
MA,Alto Alegre do Maranhão,17336,121,305,11
MA,Alto Alegre do Pindaré,20887,143,371,13
MA,Alto Parnaíba,8188,46,292,9
MA,Amapá do Maranhão,5252,25,105,9
MA,Amarante do Maranhão,25266,175,401,13
MA,Anajatuba,20160,160,518,11
MA,Anapurus,12374,164,365,9
MA,Apicum-Açu,11844,68,118,11
MA,Araguanã,7910,33,103,9
MA,Araioses,32769,372,756,13
MA,Arame,20964,87,385,13
MA,Arari,22524,273,553,11
MA,Axixá,10145,73,113,9
MA,Bacabal,54158,982,949,17
MA,Bacabeira,13400,98,225,11
MA,Bacuri,13737,82,187,11
MA,Bacurituba,4809,34,75,9
MA,Balsas,52861,722,1062,17
MA,Barão de Grajaú,14085,127,997,11
MA,Barra do Corda,53079,416,1158,17
MA,Barreirinhas,42817,233,626,15
MA,Bela Vista do Maranhão,9394,43,131,9
MA,Belágua,5723,29,159,9
MA,Benedito Leite,3939,19,94,9
MA,Bequimão,16976,231,265,11
MA,Bernardo do Mearim,5260,34,123,9
MA,Boa Vista do Gurupi,5234,11,54,9
MA,Bom Jardim,27305,219,975,13
MA,Bom Jesus das Selvas,19136,81,240,13
MA,Bom Lugar,10830,59,259,11
MA,Brejo,24485,278,412,13
MA,Brejo de Areia,6928,29,188,9
MA,Buriti,20921,162,578,11
MA,Buriti Bravo,17975,108,515,11
MA,Buriticupu,41510,289,627,15
MA,Buritirana,11195,86,294,9
MA,Cachoeira Grande,7820,32,65,9
MA,Cajapió,9023,65,133,11
MA,Cajari,14028,67,253,11
MA,Campestre do Maranhão,9796,54,1043,9
MA,Cândido Mendes,15358,94,183,11
MA,Cantanhede,13254,75,247,11
MA,Capinzal do Norte,8616,61,310,9
MA,Carolina,17830,140,333,11
MA,Carutapera,16691,128,241,9
MA,Caxias,90328,1128,2008,19
MA,Cedral,8692,82,177,9
MA,Central do Maranhão,7194,44,159,9
MA,Centro do Guilherme,6765,34,171,9
MA,Centro Novo do Maranhão,10955,50,141,11
MA,Chapadinha,54515,637,1257,15
MA,Cidelândia,10466,76,184,9
MA,Codó,65598,798,1378,17
MA,Coelho Neto,35640,288,1440,13
MA,Colinas,28055,260,765,13
MA,Conceição do Lago-Açu,10585,49,187,9
MA,Coroatá,37794,527,1052,15
MA,Cururupu,25249,258,341,13
MA,Davinópolis,11726,84,117,9
MA,Dom Pedro,18162,244,504,11
MA,Duque Bacelar,9608,60,281,9
MA,Esperantinópolis,12015,104,339,11
MA,Estreito,23297,168,297,13
MA,Feira Nova do Maranhão,5530,36,238,9
MA,Fernando Falcão,7174,27,162,9
MA,Formosa da Serra Negra,12137,30,248,11
MA,Fortaleza dos Nogueiras,8764,78,144,9
MA,Fortuna,12310,152,436,11
MA,Godofredo Viana,8376,60,167,9
MA,Gonçalves Dias,12944,111,360,11
MA,Governador Archer,8158,67,336,9
MA,Governador Edison Lobão,14315,110,356,11
MA,Governador Eugênio Barros,11766,63,380,11
MA,Governador Luiz Rocha,6246,46,151,9
MA,Governador Newton Bello,8044,31,152,9
MA,Governador Nunes Freire,17327,70,174,11
MA,Graça Aranha,5732,38,87,9
MA,Grajaú,47309,277,539,15
MA,Guimarães,10470,182,234,9
MA,Humberto de Campos,21853,131,498,11
MA,Icatu,21624,110,293,11
MA,Igarapé do Meio,11375,26,244,9
MA,Igarapé Grande,8345,66,230,9
MA,Imperatriz,151858,2423,3061,21
MA,Itaipava do Grajaú,10231,38,300,9
MA,Itapecuru Mirim,45400,390,1031,15
MA,Itinga do Maranhão,17009,119,634,11
MA,Jatobá,6742,54,177,9
MA,Jenipapo dos Vieiras,10497,28,665,11
MA,João Lisboa,20665,194,418,11
MA,Joselândia,12104,59,229,11
MA,Junco do Maranhão,4370,11,71,9
MA,Lago da Pedra,35766,284,695,13
MA,Lago do Junco,8331,56,122,9
MA,Lago dos Rodrigues,7909,39,59,9
MA,Lago Verde,12162,52,165,11
MA,Lagoa do Mato,8262,39,169,9
MA,Lagoa Grande do Maranhão,8821,40,477,9
MA,Lajeado Novo,6295,17,81,9
MA,Lima Campos,9897,84,214,9
MA,Loreto,8375,44,151,9
MA,Luís Domingues,5929,23,61,9
MA,Magalhães de Almeida,12908,59,289,11
MA,Maracaçumé,11702,66,240,11
MA,Marajá do Sena,6694,36,345,9
MA,Maranhãozinho,7493,36,83,9
MA,Mata Roma,14319,179,410,11
MA,Matinha,15805,221,284,11
MA,Matões,20912,132,962,13
MA,Matões do Norte,7304,43,175,9
MA,Milagres do Maranhão,5801,26,95,9
MA,Mirador,15231,116,421,11
MA,Miranda do Norte,16286,101,723,11
MA,Mirinzal,11448,144,165,9
MA,Monção,17098,124,364,13
MA,Montes Altos,7590,37,128,9
MA,Morros,14736,65,191,11
MA,Nina Rodrigues,9236,53,139,9
MA,Nova Colinas,3996,22,176,9
MA,Nova Iorque,3585,16,81,9
MA,Nova Olinda do Maranhão,12789,89,257,11
MA,Olho D'Água das Cunhãs,15078,119,294,11
MA,Olinda Nova do Maranhão,10066,68,224,9
MA,Paço do Lumiar,58698,1493,1445,17
MA,Palmeirândia,16385,140,264,11
MA,Paraibano,15503,140,376,11
MA,Parnarama,26665,264,738,13
MA,Passagem Franca,13486,152,543,11
MA,Pastos Bons,12392,134,198,11
MA,Paulino Neves,13326,59,219,11
MA,Paulo Ramos,13224,133,365,11
MA,Pedreiras,29845,297,495,13
MA,Pedro do Rosário,16891,76,265,11
MA,Penalva,26247,162,463,13
MA,Peri Mirim,11564,92,111,9
MA,Peritoró,13367,114,336,11
MA,Pindaré-Mirim,21537,158,387,13
MA,Pinheiro,56388,534,1956,15
MA,Pio XII,20056,187,1742,11
MA,Pirapemas,13436,86,263,11
MA,Poção de Pedras,13082,113,266,11
MA,Porto Franco,18749,114,176,11
MA,Porto Rico do Maranhão,6584,52,103,9
MA,Presidente Dutra,31683,325,416,13
MA,Presidente Juscelino,9503,54,78,9
MA,Presidente Médici,5276,25,134,9
MA,Presidente Sarney,14575,64,570,11
MA,Presidente Vargas,10031,78,218,9
MA,Primeira Cruz,10323,46,170,9
MA,Raposa,17869,203,450,11
MA,Riachão,13526,109,403,11
MA,Ribamar Fiquene,6428,36,96,9
MA,Rosário,31186,366,531,13
MA,Sambaíba,5223,21,401,9
MA,Santa Filomena do Maranhão,5845,31,110,9
MA,Santa Helena,24558,138,722,9
MA,Santa Inês,47933,841,2181,17
MA,Santa Luzia,47392,274,624,15
MA,Santa Luzia do Paruá,16737,133,724,11
MA,Santa Quitéria do Maranhão,20800,195,509,11
MA,Santa Rita,23862,255,453,13
MA,Santana do Maranhão,8216,36,142,9
MA,Santo Amaro do Maranhão,9916,60,195,9
MA,Santo Antônio dos Lopes,13267,79,387,9
MA,São Benedito do Rio Preto,14104,150,274,11
MA,São Bento,24343,220,461,13
MA,São Bernardo,20813,210,716,11
MA,São Domingos do Azeitão,5409,23,78,9
MA,São Domingos do Maranhão,27397,312,784,13
MA,São Félix de Balsas,3910,23,80,9
MA,São Francisco do Brejão,7042,59,147,9
MA,São Francisco do Maranhão,9363,101,316,9
MA,São João Batista,18644,103,209,11
MA,São João do Carú,10271,48,185,11
MA,São João do Paraíso,8551,36,133,9
MA,São João do Soter,12404,61,251,11
MA,São João dos Patos,20126,201,298,11
MA,São José de Ribamar,92420,2794,2174,17
MA,São José dos Basílios,6729,26,78,9
MA,São Luís,659779,16535,25449,31
MA,São Luís Gonzaga do Maranhão,18409,169,325,11
MA,São Mateus do Maranhão,30467,288,627,13
MA,São Pedro da Água Branca,9203,43,113,9
MA,São Pedro dos Crentes,3790,15,86,9
MA,São Raimundo das Mangabeiras,14592,82,300,11
MA,São Raimundo do Doca Bezerra,5186,21,53,9
MA,São Roberto,4489,12,133,9
MA,São Vicente Ferrer,15393,195,592,11
MA,Satubinha,5649,42,148,9
MA,Senador Alexandre Costa,7747,48,223,9
MA,Senador La Rocque,12270,88,114,11
MA,Serrano do Maranhão,8543,58,174,9
MA,Sítio Novo,13925,63,167,11
MA,Sucupira do Norte,8505,76,178,9
MA,Sucupira do Riachão,4387,31,138,9
MA,Tasso Fragoso,6661,34,117,9
MA,Timbiras,17831,143,410,11
MA,Timon,98897,1627,2495,21
MA,Trizidela do Vale,15171,138,249,11
MA,Tufilândia,5615,24,138,9
MA,Tuntum,28235,317,572,13
MA,Turiaçu,27383,113,268,13
MA,Turilândia,14655,80,261,11
MA,Tutóia,39696,483,552,13
MA,Urbano Santos,18180,154,558,11
MA,Vargem Grande,32013,237,1055,13
MA,Viana,31640,228,975,15
MA,Vila Nova dos Martírios,7733,53,138,9
MA,Vitória do Mearim,26200,264,338,13
MA,Vitorino Freire,24022,214,598,13
MA,Zé Doca,33337,221,8287,15
