uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
MG,Abadia dos Dourados,5844,87,118,9
MG,Abaeté,18486,413,366,9
MG,Abre Campo,10125,230,196,9
MG,Acaiaca,3647,31,157,9
MG,Açucena,8883,113,240,9
MG,Água Boa,12397,98,292,11
MG,Água Comprida,2506,13,62,9
MG,Aguanil,4081,61,97,9
MG,Águas Formosas,14949,114,391,11
MG,Águas Vermelhas,10489,85,427,9
MG,Aimorés,19519,235,302,11
MG,Aiuruoca,5203,109,160,9
MG,Alagoa,2550,15,85,9
MG,Albertina,2730,31,196,9
MG,Além Paraíba,28302,428,721,13
MG,Alfenas,58576,2121,1555,12
MG,Alfredo Vasconcelos,5441,104,172,9
MG,Almenara,29369,275,1008,13
MG,Alpercata,6632,73,114,9
MG,Alpinópolis,15264,315,274,9
MG,Alterosa,11951,186,210,9
MG,Alto Caparaó,4186,36,40,9
MG,Alto Jequitibá,7011,138,173,9
MG,Alto Rio Doce,10357,166,291,9
MG,Alvarenga,4430,20,57,9
MG,Alvinópolis,13346,152,281,11
MG,Alvorada de Minas,4267,28,79,9
MG,Amparo do Serra,4731,68,136,9
MG,Andradas,29128,1500,1356,9
MG,Andrelândia,9764,179,292,9
MG,Angelândia,6746,71,207,9
MG,Antônio Carlos,9578,256,299,9
MG,Antônio Dias,9102,78,206,9
MG,Antônio Prado de Minas,1941,5,43,9
MG,Araçaí,2807,26,60,9
MG,Aracitaba,2406,22,67,9
MG,Araçuaí,28354,395,704,11
MG,Araguari,87433,1870,3040,17
MG,Arantina,2547,13,43,9
MG,Araponga,6803,115,212,9
MG,Araporã,5691,57,138,9
MG,Arapuá,3201,29,41,9
MG,Araújos,6507,83,111,9
MG,Araxá,75628,2411,4114,15
MG,Arceburgo,7345,191,232,9
MG,Arcos,30924,956,1114,13
MG,Areado,11607,315,281,9
MG,Argirita,2879,20,41,9
MG,Aricanduva,4652,43,123,9
MG,Arinos,13813,100,203,9
MG,Astolfo Dutra,11033,141,168,9
MG,Ataléia,11940,109,336,9
MG,Augusto de Lima,4431,50,73,9
MG,Baependi,15582,330,523,11
MG,Baldim,7009,71,128,9
MG,Bambuí,19227,312,386,11
MG,Bandeira,4544,37,88,9
MG,Bandeira do Sul,5334,93,96,9
MG,Barão de Cocais,23225,555,507,11
MG,Barão de Monte Alto,5652,34,148,9
MG,Barbacena,97946,4078,6890,15
MG,Barra Longa,5694,57,169,9
MG,Barroso,17182,445,405,9
MG,Bela Vista de Minas,7716,113,171,9
MG,Belmiro Braga,3099,18,83,9
MG,Belo Horizonte,1927460,108745,215633,41
MG,Belo Oriente,19643,240,692,11
MG,Belo Vale,7386,155,179,9
MG,Berilo,9689,82,234,9
MG,Berizal,3850,18,101,9
MG,Bertópolis,4151,29,91,9
MG,Betim,278234,10315,16403,23
MG,Bias Fortes,3695,46,61,9
MG,Bicas,11571,209,286,9
MG,Biquinhas,3098,22,34,9
MG,Boa Esperança,31443,812,1106,13
MG,Bocaina de Minas,4607,68,179,9
MG,Bocaiúva,35876,603,735,13
MG,Bom Despacho,37771,1096,815,9
MG,Bom Jardim de Minas,5874,56,124,9
MG,Bom Jesus da Penha,3388,106,86,9
MG,Bom Jesus do Amparo,4883,74,134,9
MG,Bom Jesus do Galho,12333,150,285,11
MG,Bom Repouso,8666,251,487,9
MG,Bom Sucesso,15353,355,313,11
MG,Bonfim,6689,153,186,9
MG,Bonfinópolis de Minas,5147,43,64,9
MG,Bonito de Minas,7839,52,239,9
MG,Borda da Mata,13228,360,403,11
MG,Botelhos,12716,311,289,9
MG,Botumirim,5400,32,119,9
MG,Brás Pires,4519,47,113,9
MG,Brasilândia de Minas,11513,65,128,9
MG,Brasília de Minas,26616,246,318,13
MG,Braúnas,4385,38,131,9
MG,Brazópolis,13040,358,290,9
MG,Brumadinho,27444,557,800,13
MG,Bueno Brandão,8901,447,246,9
MG,Buenópolis,8692,101,193,9
MG,Bugre,4374,30,50,9
MG,Buritis,18426,164,310,9
MG,Buritizeiro,19715,301,819,11
MG,Cabeceira Grande,5595,57,83,9
MG,Cabo Verde,9834,189,221,9
MG,Cachoeira da Prata,3529,30,44,9
MG,Cachoeira de Minas,9245,251,394,9
MG,Cachoeira de Pajeú,7091,45,187,9
MG,Cachoeira Dourada,2207,3,19,9
MG,Caetanópolis,8247,207,322,9
MG,Caeté,33606,845,1056,13
MG,Caiana,4008,62,102,9
MG,Cajuri,4042,71,392,9
MG,Caldas,11097,236,381,9
MG,Camacho,3589,53,73,9
MG,Camanducaia,16972,541,347,11
MG,Cambuí,20953,857,1111,9
MG,Cambuquira,10279,210,388,9
MG,Campanário,3483,27,110,9
MG,Campanha,12108,257,347,11
MG,Campestre,16407,615,499,11
MG,Campina Verde,15618,140,286,11
MG,Campo Azul,4017,20,84,9
MG,Campo Belo,39725,1322,1433,15
MG,Campo do Meio,10311,108,203,9
MG,Campo Florido,5954,67,86,9
MG,Campos Altos,10511,218,167,9
MG,Campos Gerais,20812,681,533,11
MG,Cana Verde,4773,94,140,9
MG,Canaã,4219,84,126,9
MG,Canápolis,9303,65,103,9
MG,Candeias,12073,400,401,9
MG,Cantagalo,3941,48,78,9
MG,Caparaó,4456,61,72,9
MG,Capela Nova,4356,85,115,9
MG,Capelinha,26928,543,582,13
MG,Capetinga,6021,74,93,9
MG,Capim Branco,7823,184,153,9
MG,Capinópolis,11381,110,441,11
MG,Capitão Andrade,4239,20,59,9
MG,Capitão Enéas,12358,118,255,9
MG,Capitólio,7439,117,161,9
MG,Caputira,7973,147,298,9
MG,Caraí,15323,149,646,11
MG,Caranaíba,3144,57,219,9
MG,Carandaí,19808,849,525,11
MG,Carangola,25399,524,995,13
MG,Caratinga,61456,1420,2063,17
MG,Carbonita,8095,78,150,9
MG,Careaçu,4996,48,66,9
MG,Carlos Chagas,16806,166,361,11
MG,Carmésia,2269,24,65,9
MG,Carmo da Cachoeira,9881,218,197,9
MG,Carmo da Mata,9799,145,201,9
MG,Carmo de Minas,9872,201,224,9
MG,Carmo do Cajuru,17599,650,710,11
MG,Carmo do Paranaíba,22038,772,736,11
MG,Carmo do Rio Claro,15713,234,288,9
MG,Carmópolis de Minas,13029,229,383,11
MG,Carneirinho,7760,48,153,9
MG,Carrancas,3280,81,118,9
MG,Carvalhópolis,3007,28,48,9
MG,Carvalhos,4076,59,155,9
MG,Casa Grande,2538,25,73,9
MG,Cascalho Rico,3179,23,178,9
MG,Cássia,14337,256,355,9
MG,Cataguases,53916,1345,1769,15
MG,Catas Altas,4622,47,85,9
MG,Catas Altas da Noruega,3685,39,113,9
MG,Catuji,7852,69,151,9
MG,Catuti,4301,30,90,9
MG,Caxambu,18158,384,381,11
MG,Cedro do Abaeté,1287,8,38,9
MG,Central de Minas,6242,46,68,9
MG,Centralina,7321,56,203,9
MG,Chácara,2572,18,44,9
MG,Chalé,5047,41,169,9
MG,Chapada do Norte,10223,57,185,11
MG,Chapada Gaúcha,8437,40,147,9
MG,Chiador,2666,21,69,9
MG,Cipotânea,5854,80,120,9
MG,Claraval,4801,66,84,9
MG,Claro dos Poções,6877,65,112,9
MG,Cláudio,20161,614,447,11
MG,Coimbra,6030,158,191,9
MG,Coluna,7195,58,206,9
MG,Comendador Gomes,2635,21,35,9
MG,Comercinho,6950,53,257,9
MG,Conceição da Aparecida,8061,110,166,9
MG,Conceição da Barra de Minas,3610,23,482,9
MG,Conceição das Alagoas,19553,342,538,11
MG,Conceição das Pedras,2684,26,58,9
MG,Conceição de Ipanema,3895,40,84,9
MG,Conceição do Mato Dentro,15846,242,357,11
MG,Conceição do Pará,5110,63,120,9
MG,Conceição do Rio Verde,10443,276,231,9
MG,Conceição dos Ouros,7981,164,161,9
MG,Cônego Marinho,5868,53,123,9
MG,Confins,6126,90,225,9
MG,Congonhal,8675,126,158,9
MG,Congonhas,40233,1102,1421,13
MG,Congonhas do Norte,4218,70,210,9
MG,Conquista,5325,51,80,9
MG,Conselheiro Lafaiete,91750,4329,7668,13
MG,Conselheiro Pena,17072,179,342,11
MG,Consolação,1883,14,34,9
MG,Contagem,456933,27650,59089,21
MG,Coqueiral,7901,170,159,9
MG,Coração de Jesus,21561,208,772,11
MG,Cordisburgo,7238,88,148,9
MG,Cordislândia,2683,18,23,9
MG,Corinto,20209,291,378,11
MG,Coroaci,9632,102,242,9
MG,Coromandel,23450,289,331,11
