uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
MS,Água Clara,11264,100,145,9
MS,Alcinópolis,3560,14,53,9
MS,Amambai,24545,370,463,13
MS,Anastácio,19009,247,618,11
MS,Anaurilândia,6574,46,158,9
MS,Angélica,8226,118,141,9
MS,Antônio João,6991,48,79,9
MS,Aparecida do Taboado,18029,309,414,9
MS,Aquidauana,34436,495,653,13
MS,Aral Moreira,6859,50,113,9
MS,Bandeirantes,5703,43,75,9
MS,Bataguassu,17493,209,305,11
MS,Batayporã,8897,171,163,9
MS,Bela Vista,16616,196,291,11
MS,Bodoquena,6777,25,83,9
MS,Bonito,15075,203,257,11
MS,Brasilândia,9609,128,145,9
MS,Caarapó,20004,217,303,11
MS,Camapuã,11266,80,123,9
MS,Campo Grande,595174,17619,36017,29
MS,Caracol,4784,17,54,9
MS,Cassilândia,16625,303,472,11
MS,Chapadão do Sul,15293,331,209,9
MS,Corguinho,3950,22,55,9
MS,Coronel Sapucaia,10214,81,167,9
MS,Corumbá,70547,1386,1939,15
MS,Costa Rica,18470,374,264,11
MS,Coxim,25216,444,383,13
MS,Deodápolis,10035,224,178,9
MS,Dois Irmãos do Buriti,8276,52,110,9
MS,Douradina,4204,43,351,9
MS,Dourados,152169,5747,7260,19
MS,Eldorado,9197,165,332,9
MS,Fátima do Sul,16097,273,211,11
MS,Figueirão,2477,17,40,9
MS,Glória de Dourados,7741,120,164,9
MS,Guia Lopes da Laguna,7773,104,288,9
MS,Iguatemi,10980,138,231,9
MS,Inocência,6749,37,93,9
MS,Itaporã,13852,180,253,11
MS,Itaquiraí,14038,152,249,11
MS,Ivinhema,18484,411,623,11
MS,Japorã,5736,33,158,9
MS,Jaraguari,4984,64,81,9
MS,Jardim,18474,292,241,11
MS,Jateí,3861,33,47,9
MS,Juti,5261,71,182,9
MS,Ladário,13865,205,564,11
MS,Laguna Carapã,4945,29,82,9
MS,Maracaju,27425,523,570,13
MS,Miranda,19573,189,333,11
MS,Mundo Novo,14001,150,224,11
MS,Naviraí,36024,900,1625,13
MS,Nioaque,10711,85,162,9
MS,Nova Alvorada do Sul,15743,209,313,11
MS,Nova Andradina,33434,865,640,13
MS,Novo Horizonte do Sul,4047,25,42,9
MS,Paraíso das Águas,4082,24,33,9
MS,Paranaíba,30875,568,1498,13
MS,Paranhos,8040,46,215,9
MS,Pedro Gomes,6288,58,62,9
MS,Ponta Porã,60818,1593,1618,17
MS,Porto Murtinho,8731,66,75,11
MS,Ribas do Rio Pardo,14451,195,226,11
MS,Rio Brilhante,25180,421,512,13
MS,Rio Negro,4108,50,64,9
MS,Rio Verde de Mato Grosso,14410,147,250,11
MS,Rochedo,4301,38,162,9
MS,Santa Rita do Pardo,4904,39,57,9
MS,São Gabriel do Oeste,18928,354,248,11
MS,Selvíria,6466,40,75,9
MS,Sete Quedas,7365,79,288,9
MS,Sidrolândia,29595,493,438,15
MS,Sonora,11385,105,159,11
MS,Tacuru,7134,46,195,9
MS,Taquarussu,3193,42,55,9
MS,Terenos,13016,176,225,11
MS,Três Lagoas,75844,2594,2543,17
MS,Vicentina,5393,59,90,9
