uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
MT,Acorizal,6036,31,81,9
MT,Água Boa,16245,206,216,11
MT,Alta Floresta,38279,1108,1033,13
MT,Alto Araguaia,12523,130,214,11
MT,Alto Boa Vista,3441,19,136,9
MT,Alto Garças,7352,71,145,9
MT,Alto Paraguai,6453,61,114,9
MT,Alto Taquari,6754,45,73,9
MT,Apiacás,5425,47,90,9
MT,Araguaiana,2814,16,37,9
MT,Araguainha,954,3,14,9
MT,Araputanga,11997,169,346,11
MT,Arenápolis,7793,106,110,9
MT,Aripuanã,12846,225,426,11
MT,Barão de Melgaço,6267,26,99,9
MT,Barra do Bugres,23294,351,567,13
MT,Barra do Garças,41948,890,1143,15
MT,Bom Jesus do Araguaia,4648,22,50,9
MT,Brasnorte,10860,91,150,9
MT,Cáceres,61253,1294,2207,15
MT,Campinápolis,9317,68,212,11
MT,Campo Novo do Parecis,20818,464,584,9
MT,Campo Verde,27156,505,491,13
MT,Campos de Júlio,3955,81,52,9
MT,Canabrava do Norte,3947,23,31,9
MT,Canarana,14462,197,267,11
MT,Carlinda,7403,109,111,9
MT,Castanheira,5878,75,281,9
MT,Chapada dos Guimarães,14745,186,394,11
MT,Cláudia,7788,81,111,9
MT,Cocalinho,4439,20,79,9
MT,Colíder,23467,513,507,13
MT,Colniza,17355,286,231,9
MT,Comodoro,14061,142,231,11
MT,Confresa,18009,180,465,11
MT,Conquista D'Oeste,2824,19,34,9
MT,Cotriguaçu,8548,86,278,9
MT,Cuiabá,415100,14224,31103,25
MT,Curvelândia,4059,32,56,9
MT,Denise,5757,78,300,9
MT,Diamantino,15646,203,214,9
MT,Dom Aquino,6779,52,179,9
MT,Feliz Natal,6237,54,95,9
MT,Figueirópolis D'Oeste,3199,23,76,9
MT,Gaúcha do Norte,4704,47,110,9
MT,General Carneiro,4059,34,91,9
MT,Glória D'Oeste,2633,12,45,9
MT,Guarantã do Norte,21052,390,333,9
MT,Guiratinga,8587,51,470,9
MT,Indiavaí,1883,7,31,9
MT,Ipiranga do Norte,4005,64,109,9
MT,Itanhangá,4515,42,37,9
MT,Itaúba,4252,22,61,9
MT,Itiquira,8731,68,91,9
MT,Jaciara,18167,321,420,11
MT,Jangada,6281,52,117,9
MT,Jauru,8257,70,234,9
MT,Juara,23277,607,508,9
MT,Juína,31290,701,517,13
MT,Juruena,6236,68,125,9
MT,Juscimeira,9031,88,193,9
MT,Lambari D'Oeste,4854,26,61,9
MT,Lucas do Rio Verde,38384,1686,2125,9
MT,Luciara,1919,7,24,9
MT,Marcelândia,9347,83,267,9
MT,Matupá,10976,179,246,9
MT,Mirassol D'Oeste,19682,347,501,9
MT,Nobres,10814,95,153,11
MT,Nortelândia,4413,40,131,9
MT,Nossa Senhora do Livramento,11492,133,298,9
MT,Nova Bandeirantes,9180,143,181,9
MT,Nova Brasilândia,3206,23,88,9
MT,Nova Canaã do Norte,10039,112,139,9
MT,Nova Guarita,3763,48,62,9
MT,Nova Lacerda,4716,29,65,9
MT,Nova Marilândia,2711,15,33,9
MT,Nova Maringá,4163,21,61,9
MT,Nova Monte Verde,5746,82,85,9
MT,Nova Mutum,23942,1179,576,9
MT,Nova Nazaré,2320,11,31,9
MT,Nova Olímpia,12444,233,219,9
MT,Nova Santa Helena,3459,17,67,9
MT,Nova Ubiratã,6418,61,53,9
MT,Nova Xavantina,15010,279,291,11
MT,Novo Horizonte do Norte,3146,28,34,9
MT,Novo Mundo,5170,88,81,9
MT,Novo Santo Antônio,1740,9,17,9
MT,Novo São Joaquim,5094,32,80,9
MT,Paranaíta,8626,105,118,9
MT,Paranatinga,14460,151,367,11
MT,Pedra Preta,12845,190,257,11
