uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
PA,Abaetetuba,104665,1209,4550,15
PA,Abel Figueiredo,6094,26,66,9
PA,Acará,43484,233,1406,13
PA,Afuá,22907,71,956,11
PA,Água Azul do Norte,9747,54,212,11
PA,Alenquer,37004,165,560,15
PA,Almeirim,22204,97,529,11
PA,Altamira,71948,1245,1988,15
PA,Anajás,18502,41,407,11
PA,Ananindeua,291273,9907,11402,25
PA,Anapu,17428,183,437,11
PA,Augusto Corrêa,35705,255,1326,13
PA,Aurora do Pará,18631,121,332,11
PA,Aveiro,10874,40,165,9
PA,Bagre,14043,41,288,11
PA,Baião,23704,147,747,13
PA,Bannach,3141,15,43,9
PA,Barcarena,78512,1162,1286,15
PA,Belém,1043219,22928,44565,35
PA,Belterra,14184,96,215,11
PA,Benevides,40607,589,709,9
PA,Bom Jesus do Tocantins,11253,60,462,9
PA,Bonito,11838,61,154,9
PA,Bragança,75467,868,2421,17
PA,Brasil Novo,13526,111,270,9
PA,Brejo Grande do Araguaia,6890,23,100,9
PA,Breu Branco,31523,207,449,13
PA,Breves,61215,348,1199,17
PA,Bujaru,20444,104,702,11
PA,Cachoeira do Arari,18039,86,418,11
PA,Cachoeira do Piriá,13931,48,267,11
PA,Cametá,87492,619,1190,15
PA,Canaã dos Carajás,39832,417,489,13
PA,Capanema,48229,667,1498,15
PA,Capitão Poço,36308,285,825,15
PA,Castanhal,121281,2096,2042,21
PA,Chaves,14228,48,360,11
PA,Colares,10215,73,226,9
PA,Conceição do Araguaia,32870,322,649,13
PA,Concórdia do Pará,21180,133,379,11
PA,Cumaru do Norte,7596,25,180,9
PA,Curionópolis,16221,118,246,11
PA,Curralinho,19851,72,326,11
PA,Curuá,9851,34,151,9
PA,Curuçá,28851,307,429,13
PA,Dom Eliseu,30475,221,433,15
PA,Eldorado dos Carajás,19950,186,553,9
PA,Faro,6085,22,65,9
PA,Floresta do Araguaia,13022,73,344,11
PA,Garrafão do Norte,21311,109,426,11
PA,Goianésia do Pará,23632,148,541,13
PA,Gurupá,17567,60,226,11
PA,Igarapé-Açu,29615,324,430,13
PA,Igarapé-Miri,47561,338,879,15
PA,Inhangapi,9118,70,292,9
PA,Ipixuna do Pará,19755,133,351,11
PA,Irituia,24868,207,486,13
PA,Itaituba,75439,839,1234,15
PA,Itupiranga,33163,258,439,13
PA,Jacareacanga,9722,78,203,11
PA,Jacundá,34656,214,315,13
PA,Juruti,31067,179,1067,13
PA,Limoeiro do Ajuru,19390,80,234,11
PA,Mãe do Rio,24882,199,375,11
PA,Magalhães Barata,8257,31,87,9
PA,Marabá,159055,2545,3314,21
PA,Maracanã,24590,146,227,11
PA,Marapanim,23892,140,664,11
PA,Marituba,68598,1180,1682,15
PA,Medicilândia,17704,149,304,11
PA,Melgaço,16317,51,519,11
PA,Mocajuba,23383,159,235,11
PA,Moju,51042,310,644,15
PA,Mojuí dos Campos,17199,89,273,9
PA,Monte Alegre,44080,289,712,15
PA,Muaná,24371,145,505,9
PA,Nova Esperança do Piriá,14578,98,343,9
PA,Nova Ipixuna,11612,66,229,9
PA,Nova Timboteua,11388,124,319,9
PA,Novo Progresso,19988,273,434,9
PA,Novo Repartimento,40823,297,453,13
PA,Óbidos,33998,418,457,13
PA,Oeiras do Pará,20857,85,260,11
PA,Oriximiná,42700,396,481,15
PA,Ourém,14991,124,237,9
PA,Ourilândia do Norte,22533,168,267,13
PA,Pacajá,25963,259,562,13
PA,Palestina do Pará,6363,30,104,9
PA,Paragominas,67945,961,1375,13
PA,Parauapebas,149584,2231,1987,15
PA,Pau D'Arco,7677,33,82,9
PA,Peixe-Boi,8181,50,146,9
PA,Piçarra,9558,52,146,9
PA,Placas,11888,92,557,11
PA,Ponta de Pedras,18818,119,603,11
PA,Portel,33180,128,653,15
PA,Porto de Moz,19600,61,258,13
PA,Prainha,22238,103,568,11
PA,Primavera,9609,60,216,9
PA,Quatipuru,9202,43,126,9
PA,Redenção,58037,492,660,15
PA,Rio Maria,13748,122,277,11
PA,Rondon do Pará,30018,284,428,13
PA,Rurópolis,17663,119,504,13
PA,Salinópolis,30500,339,332,13
PA,Salvaterra,18508,128,455,11
PA,Santa Bárbara do Pará,16017,141,388,11
PA,Santa Cruz do Arari,7117,20,121,9
PA,Santa Isabel do Pará,43955,500,659,15
PA,Santa Luzia do Pará,16609,106,762,11
PA,Santa Maria das Barreiras,14013,74,626,11
PA,Santa Maria do Pará,20213,252,263,11
PA,Santana do Araguaia,22273,133,234,15
PA,Santarém,209484,4948,4027,21
PA,Santarém Novo,6746,20,79,9
PA,Santo Antônio do Tauá,23734,161,290,11
PA,São Caetano de Odivelas,15013,104,359,11
PA,São Domingos do Araguaia,16227,132,218,11
PA,São Domingos do Capim,22967,158,621,9
PA,São Félix do Xingu,36375,245,449,15
PA,São Francisco do Pará,13745,157,229,9
PA,São Geraldo do Araguaia,20638,162,291,11
PA,São João da Ponta,6420,33,783,9
PA,São João de Pirabas,16143,117,439,11
PA,São João do Araguaia,11447,64,899,9
PA,São Miguel do Guamá,37605,339,449,15
PA,São Sebastião da Boa Vista,19621,110,343,11
PA,Sapucaia,4844,21,66,9
PA,Senador José Porfírio,9540,52,193,9
PA,Soure,20967,135,251,11
PA,Tailândia,46402,362,750,13
PA,Terra Alta,10191,66,124,9
PA,Terra Santa,12732,62,178,11
PA,Tomé-Açu,46228,383,492,15
PA,Tracuateua,22081,114,438,11
PA,Trairão,10873,47,429,11
PA,Tucumã,26377,239,281,13
PA,Tucuruí,76210,525,742,13
PA,Ulianópolis,17401,103,336,11
PA,Uruará,28787,251,438,13
PA,Vigia,36143,367,548,13
PA,Viseu,41322,183,685,13
PA,Vitória do Xingu,13622,76,232,9
PA,Xinguara,32338,326,1292,13
