uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
PB,Água Branca,7578,90,286,9
PB,Aguiar,4427,27,148,9
PB,Alagoa Grande,24020,464,628,11
PB,Alagoa Nova,14336,271,487,11
PB,Alagoinha,11534,162,253,9
PB,Alcantil,4226,57,110,9
PB,Algodão de Jandaíra,2688,15,53,9
PB,Alhandra,18009,406,438,11
PB,Amparo,2193,19,45,9
PB,Aparecida,6336,83,154,9
PB,Araçagi,12664,279,349,11
PB,Arara,9706,115,234,9
PB,Araruna,14098,249,210,11
PB,Areia,19585,554,798,11
PB,Areia de Baraúnas,1763,7,58,9
PB,Areial,5316,107,288,9
PB,Aroeiras,16604,361,1827,11
PB,Assunção,3483,38,117,9
PB,Baía da Traição,6716,78,125,9
PB,Bananeiras,15881,319,483,11
PB,Baraúna,4372,46,64,9
PB,Barra de Santa Rosa,11332,81,272,11
PB,Barra de Santana,6801,98,162,9
PB,Barra de São Miguel,4633,44,129,9
PB,Bayeux,66455,1601,3472,17
PB,Belém,14139,272,394,11
PB,Belém do Brejo do Cruz,6032,69,138,9
PB,Bernardino Batista,2846,23,114,9
PB,Boa Ventura,4917,54,192,9
PB,Boa Vista,5628,68,110,9
PB,Bom Jesus,3205,32,72,9
PB,Bom Sucesso,4423,26,84,9
PB,Bonito de Santa Fé,8180,54,121,9
PB,Boqueirão,13331,176,274,11
PB,Borborema,4151,58,132,9
PB,Brejo do Cruz,10151,84,201,9
PB,Brejo dos Santos,5868,46,134,9
PB,Caaporã,17429,355,231,11
PB,Cabaceiras,4215,55,84,9
PB,Cabedelo,44293,1180,1412,15
PB,Cachoeira dos Índios,7605,94,239,9
PB,Cacimba de Areia,3310,24,65,9
PB,Cacimba de Dentro,14228,119,397,11
PB,Cacimbas,5168,64,191,9
PB,Caiçara,6009,89,197,9
PB,Cajazeiras,45416,1147,1074,15
PB,Cajazeirinhas,3321,24,73,9
PB,Caldas Brandão,5361,67,89,9
PB,Camalaú,5042,61,159,9
PB,Campina Grande,274006,8951,17330,23
PB,Capim,5529,77,162,9
PB,Caraúbas,3737,22,140,9
PB,Carrapateira,2371,10,70,9
PB,Casserengue,6215,48,186,9
PB,Catingueira,4360,32,121,9
PB,Catolé do Rocha,21818,441,472,13
PB,Caturité,4240,36,118,9
PB,Conceição,14616,173,286,11
PB,Condado,5780,60,129,9
PB,Conde,19922,386,516,11
PB,Congo,4441,51,104,9
PB,Coremas,12462,115,205,11
PB,Coxixola,1742,26,56,9
PB,Cruz do Espírito Santo,15518,282,438,11
PB,Cubati,5977,113,205,9
PB,Cuité,17013,198,384,11
PB,Cuité de Mamanguape,6582,69,169,9
PB,Cuitegi,5380,80,149,9
PB,Curral de Cima,4592,76,137,9
PB,Curral Velho,2022,10,58,9
PB,Damião,4688,32,166,9
PB,Desterro,6125,50,136,9
PB,Diamante,5218,53,190,9
PB,Dona Inês,7933,87,291,9
PB,Duas Estradas,3696,31,108,9
PB,Emas,3001,16,58,9
PB,Esperança,22885,544,688,13
PB,Fagundes,10204,144,360,9
PB,Frei Martinho,2907,23,80,9
PB,Gado Bravo,7407,150,213,9
PB,Guarabira,38459,1267,2063,15
PB,Gurinhém,11884,177,246,9
PB,Gurjão,2912,29,51,9
PB,Ibiara,5587,45,230,9
PB,Igaracy,5243,53,168,9
PB,Imaculada,7958,95,213,9
PB,Ingá,14554,212,305,11
PB,Itabaiana,20042,359,587,11
PB,Itaporanga,15849,226,346,11
PB,Itapororoca,11720,207,339,11
PB,Itatuba,8554,154,316,9
PB,Jacaraú,12109,183,377,9
PB,Jericó,6641,60,110,9
PB,João Pessoa,489028,19866,30370,27
PB,Juarez Távora,7207,106,147,9
PB,Juazeirinho,12098,166,346,11
PB,Junco do Seridó,4920,92,125,9
PB,Juripiranga,10026,207,356,9
PB,Juru,7948,54,230,9
PB,Lagoa,4258,44,137,9
PB,Lagoa de Dentro,6012,70,168,9
PB,Lagoa Seca,18878,555,750,11
PB,Lastro,3529,32,71,9
PB,Livramento,5406,68,77,9
PB,Logradouro,3228,42,119,9
PB,Lucena,10939,188,267,9
PB,Mãe D'Água,3884,42,103,9
PB,Malta,5144,42,136,9
PB,Mamanguape,29999,682,722,13
PB,Manaíra,8931,62,162,9
PB,Marcação,6549,97,112,9
PB,Mari,17261,356,405,11
