uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
PE,Abreu e Lima,79789,2606,4372,11
PE,Afogados da Ingazeira,26726,761,911,13
PE,Afrânio,15776,157,896,11
PE,Agrestina,20502,436,471,11
PE,Água Preta,23277,349,465,13
PE,Águas Belas,30896,375,605,13
PE,Alagoinha,12006,205,332,9
PE,Aliança,26491,702,943,11
PE,Altinho,15583,467,493,11
PE,Amaraji,15505,389,380,9
PE,Angelim,8659,153,217,9
PE,Araçoiaba,14546,237,574,11
PE,Araripina,53291,925,1371,15
PE,Arcoverde,44218,893,1056,10
PE,Barra de Guabiraba,10540,180,142,9
PE,Barreiros,29528,546,557,13
PE,Belém de Maria,9260,137,181,9
PE,Belém de São Francisco,15439,130,340,11
PE,Belo Jardim,60062,1850,1871,13
PE,Betânia,10122,99,303,9
PE,Bezerros,41946,1969,2893,15
PE,Bodocó,26593,259,690,13
PE,Bom Conselho,35457,417,811,13
PE,Bom Jardim,26752,552,504,13
PE,Bonito,27285,644,667,13
PE,Brejão,8592,153,360,9
PE,Brejinho,7087,118,235,9
PE,Brejo da Madre de Deus,31576,658,1792,13
PE,Buenos Aires,11399,123,306,9
PE,Buíque,38492,670,1028,15
PE,Cabo de Santo Agostinho,162229,4648,4937,17
PE,Cabrobó,24451,196,410,13
PE,Cachoeirinha,14826,304,407,11
PE,Caetés,19715,273,675,11
PE,Calçado,8808,126,209,9
PE,Calumbi,6602,52,238,9
PE,Camaragibe,121877,4821,6667,13
PE,Camocim de São Félix,13419,241,321,11
PE,Camutanga,7038,100,143,9
PE,Canhotinho,15900,398,600,11
PE,Capoeiras,16133,304,520,11
PE,Carnaíba,14170,180,389,11
PE,Carnaubeira da Penha,11026,69,779,9
PE,Carpina,56290,1435,1953,17
PE,Caruaru,209898,4812,10655,23
PE,Casinhas,12908,228,298,9
PE,Catende,24085,415,447,13
PE,Cedro,9720,83,174,9
PE,Chã de Alegria,10965,206,290,9
PE,Chã Grande,17923,614,386,11
PE,Condado,19912,416,355,11
PE,Correntes,13499,200,243,9
PE,Cortês,11211,119,297,9
PE,Cumaru,15200,261,832,11
PE,Cupira,18502,293,386,11
PE,Custódia,25770,426,525,11
PE,Dormentes,15287,104,365,11
PE,Escada,44367,810,818,13
PE,Exu,29526,307,1008,13
PE,Feira Nova,17508,364,540,11
PE,Ferreiros,9014,149,355,9
PE,Flores,16915,277,431,11
PE,Floresta,23084,207,342,13
PE,Frei Miguelinho,12546,235,416,9
PE,Gameleira,17717,217,304,11
PE,Garanhuns,85556,3267,4502,13
PE,Glória do Goitá,20174,628,751,11
PE,Goiana,56291,1246,1484,15
PE,Granito,6477,28,161,9
PE,Gravatá,62804,2183,2062,15
PE,Iati,15701,177,426,11
PE,Ibimirim,19872,209,321,11
PE,Ibirajuba,6433,114,239,9
PE,Igarassu,75073,2124,1947,15
PE,Iguaraci,8234,132,255,9
PE,Ilha de Itamaracá,16565,211,265,9
PE,Inajá,13014,117,630,11
PE,Ingazeira,3714,36,98,9
PE,Ipojuca,66469,813,1334,12
PE,Ipubi,22177,182,615,11
PE,Itacuruba,4532,21,93,9
PE,Itaíba,17267,265,459,11
PE,Itambé,22490,641,737,11
PE,Itapetim,11911,237,603,9
PE,Itapissuma,17184,281,523,11
PE,Itaquitinga,13798,136,276,11
PE,Jaboatão dos Guararapes,443854,30852,46696,27
PE,Jaqueira,9908,91,331,9
PE,Jataúba,13987,161,350,11
PE,Jatobá,9503,74,217,9
PE,João Alfredo,23873,451,583,13
PE,Joaquim Nabuco,13088,191,323,11
PE,Jucati,8670,142,344,9
PE,Jupi,10748,236,284,9
PE,Jurema,11173,190,353,9
PE,Lagoa de Itaenga,18129,386,480,11
PE,Lagoa do Carro,14049,168,294,11
PE,Lagoa do Ouro,10796,132,436,9
PE,Lagoa dos Gatos,12427,192,351,9
PE,Lagoa Grande,18647,220,295,11
PE,Lajedo,25120,669,500,13
PE,Limoeiro,40764,1349,1611,15
PE,Macaparana,18834,419,801,11
PE,Machados,10998,184,266,9
PE,Manari,12448,124,208,11
PE,Maraial,10347,116,208,9
PE,Mirandiba,12436,116,195,11
PE,Moreilândia,8753,125,244,9
PE,Moreno,44105,1678,1505,11
PE,Nazaré da Mata,22649,795,536,13
PE,Olinda,259335,16278,27315,17
PE,Orobó,20510,364,468,11
PE,Orocó,12101,76,188,9
PE,Ouricuri,46911,427,1689,15
PE,Palmares,38901,629,740,15
PE,Palmeirina,7047,91,261,9
PE,Panelas,21742,268,647,11
PE,Paranatama,9030,115,287,9
PE,Parnamirim,17760,95,589,11
PE,Passira,23593,515,613,11
PE,Paudalho,40805,1101,1001,13
PE,Paulista,193271,8119,14448,15
PE,Pedra,18616,302,417,11
PE,Pesqueira,49282,1172,5361,15
PE,Petrolândia,23145,313,415,11
PE,Petrolina,183819,4768,5614,23
PE,Poção,9817,182,975,9
PE,Pombos,19489,718,558,11
PE,Primavera,11013,178,180,9
PE,Quipapá,18214,227,406,11
PE,Quixaba,5442,24,105,9
PE,Recife,1119271,41967,77261,39
PE,Riacho das Almas,18821,394,419,11
PE,Ribeirão,32336,525,641,13
PE,Rio Formoso,16251,197,680,11
PE,Sairé,11334,409,422,9
PE,Salgadinho,6747,79,186,9
PE,Salgueiro,37600,638,636,15
PE,Saloá,13506,193,277,11
PE,Sanharó,14971,286,349,11
PE,Santa Cruz,10992,114,393,9
PE,Santa Cruz da Baixa Verde,9902,102,338,9
PE,Santa Cruz do Capibaribe,52246,1479,1427,17
PE,Santa Filomena,11204,44,181,9
PE,Santa Maria da Boa Vista,28304,266,364,13
PE,Santa Maria do Cambucá,10065,177,220,9
PE,Santa Terezinha,8451,79,240,9
PE,São Benedito do Sul,8836,91,292,9
PE,São Bento do Una,36098,690,934,15
PE,São Caitano,28354,825,1507,13
PE,São João,18151,319,357,11
PE,São Joaquim do Monte,15967,339,488,11
PE,São José da Coroa Grande,13910,217,295,9
PE,São José do Belmonte,28088,252,871,13
PE,São José do Egito,24908,367,527,26
PE,São Lourenço da Mata,79276,2380,2850,15
PE,São Vicente Ferrér,13205,258,468,11
PE,Serra Talhada,54087,992,1497,17
PE,Serrita,15548,125,296,11
PE,Sertânia,25913,361,480,13
PE,Sirinhaém,26533,433,3037,11
PE,Solidão,5003,31,171,9
PE,Surubim,46122,1175,726,13
PE,Tabira,18477,389,342,11
PE,Tacaimbó,9640,275,311,9
PE,Tacaratu,14577,129,368,11
PE,Tamandaré,15930,239,277,11
PE,Taquaritinga do Norte,19623,450,424,11
PE,Terezinha,6246,89,261,9
PE,Terra Nova,7808,73,185,9
PE,Timbaúba,40754,1106,1186,13
PE,Toritama,29595,557,561,13
PE,Tracunhaém,11057,243,232,9
PE,Trindade,22482,187,362,11
PE,Triunfo,12470,187,649,11
PE,Tupanatinga,17579,180,395,11
PE,Tuparetama,8353,133,118,9
PE,Venturosa,13266,250,260,11
PE,Verdejante,8227,90,189,9
PE,Vertente do Lério,8121,109,220,9
PE,Vertentes,15781,263,1023,9
PE,Vicência,21249,389,436,13
PE,Vitória de Santo Antão,88379,2776,2724,19
PE,Xexéu,12047,188,312,9
