uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
PI,Acauã,5578,38,119,9
PI,Agricolândia,5306,68,121,9
PI,Água Branca,14925,114,164,11
PI,Alagoinha do Piauí,6142,50,160,9
PI,Alegrete do Piauí,4543,22,116,9
PI,Alto Longá,10826,51,208,9
PI,Altos,28721,496,727,13
PI,Alvorada do Gurguéia,4320,20,127,9
PI,Amarante,13548,143,292,11
PI,Angical do Piauí,6922,61,114,9
PI,Anísio de Abreu,6052,32,146,9
PI,Antônio Almeida,2734,14,62,9
PI,Aroazes,5774,45,129,9
PI,Aroeiras do Itaim,3191,20,131,9
PI,Arraial,4237,24,88,9
PI,Assunção do Piauí,5813,43,556,9
PI,Avelino Lopes,9118,60,177,9
PI,Baixa Grande do Ribeiro,8984,42,188,9
PI,Barra D'Alcântara,3413,9,87,9
PI,Barras,32288,382,847,13
PI,Barreiras do Piauí,3329,30,86,9
PI,Barro Duro,6194,41,134,9
PI,Batalha,19662,237,562,11
PI,Bela Vista do Piauí,3210,12,44,9
PI,Belém do Piauí,2961,14,73,9
PI,Beneditinos,9199,57,215,9
PI,Bertolínia,4690,45,306,9
PI,Betânia do Piauí,5458,40,164,9
PI,Boa Hora,5261,42,159,9
PI,Bocaina,5528,26,51,9
PI,Bom Jesus,15265,156,328,11
PI,Bom Princípio do Piauí,5406,33,191,9
PI,Bonfim do Piauí,4527,27,159,9
PI,Boqueirão do Piauí,5478,43,98,9
PI,Brasileira,6494,30,160,10
PI,Brejo do Piauí,3274,9,171,9
PI,Buriti dos Lopes,14380,125,564,11
PI,Buriti dos Montes,5453,16,119,9
PI,Cabeceiras do Piauí,8263,47,149,9
PI,Cajazeiras do Piauí,2902,18,77,9
PI,Cajueiro da Praia,6063,53,121,9
PI,Caldeirão Grande do Piauí,4906,35,143,9
PI,Campinas do Piauí,4624,21,133,9
PI,Campo Alegre do Fidalgo,4553,16,77,9
PI,Campo Grande do Piauí,4959,43,116,9
PI,Campo Largo do Piauí,5347,42,94,9
PI,Campo Maior,31790,430,879,13
PI,Canavieira,3552,28,51,9
PI,Canto do Buriti,13808,171,598,11
PI,Capitão de Campos,9841,87,322,9
PI,Capitão Gervásio Oliveira,3613,23,96,9
PI,Caracol,8062,43,131,9
PI,Caraúbas do Piauí,4388,18,169,9
PI,Caridade do Piauí,4767,23,105,9
