uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
PR,Abatiá,6078,99,75,9
PR,Adrianópolis,4931,43,103,9
PR,Agudos do Sul,6692,72,123,9
PR,Almirante Tamandaré,61531,2941,2408,15
PR,Altamira do Paraná,3280,28,107,9
PR,Alto Paraíso,3176,17,31,9
PR,Alto Paraná,10325,193,210,9
PR,Alto Piquiri,7459,157,144,9
PR,Altônia,15109,211,220,9
PR,Alvorada do Sul,7321,87,125,9
PR,Amaporã,4095,42,57,9
PR,Ampére,13603,249,221,9
PR,Anahy,2674,11,20,9
PR,Andirá,17673,300,401,9
PR,Ângulo,2747,15,31,9
PR,Antonina,16585,285,440,11
PR,Antonio Olinto,6690,128,150,9
PR,Apucarana,86846,4278,5280,11
PR,Arapongas,82043,3857,5392,15
PR,Arapoti,18891,551,336,9
PR,Arapuã,3267,20,34,9
PR,Araruna,10808,380,311,9
PR,Araucária,86812,4382,4883,11
PR,Ariranha do Ivaí,2442,8,27,9
PR,Assaí,13373,307,329,9
PR,Assis Chateaubriand,25785,853,875,13
PR,Astorga,20794,542,671,11
PR,Atalaia,3624,23,31,9
PR,Balsa Nova,11061,174,216,9
PR,Bandeirantes,25716,580,451,13
PR,Barbosa Ferraz,9217,126,123,9
PR,Barra do Jacaré,2686,21,29,9
PR,Barracão,6627,108,291,9
PR,Bela Vista da Caroba,3368,31,44,9
PR,Bela Vista do Paraíso,12939,267,321,9
PR,Bituruna,12579,237,429,9
PR,Boa Esperança,4029,36,318,9
PR,Boa Esperança do Iguaçu,2441,12,14,9
PR,Boa Ventura de São Roque,4892,57,321,9
PR,Boa Vista da Aparecida,6963,55,69,9
PR,Bocaiúva do Sul,8594,254,172,9
PR,Bom Jesus do Sul,3176,32,25,9
PR,Bom Sucesso,5297,86,113,9
PR,Bom Sucesso do Sul,2959,27,19,9
PR,Borrazópolis,6810,118,131,9
PR,Braganey,4707,68,56,9
PR,Brasilândia do Sul,3058,30,61,9
PR,Cafeara,2243,26,38,9
PR,Cafelândia,11726,252,184,9
PR,Cafezal do Sul,4042,33,32,9
PR,Califórnia,7011,125,104,9
PR,Cambará,18666,451,745,9
PR,Cambé,63401,3495,4013,10
PR,Cambira,5385,114,153,9
PR,Campina da Lagoa,11484,238,844,9
PR,Campina do Simão,3287,24,56,9
PR,Campina Grande do Sul,28376,1154,1448,11
PR,Campo Bonito,3445,33,31,9
PR,Campo do Tenente,6169,55,71,9
PR,Campo Largo,81734,4349,4440,11
PR,Campo Magro,17570,493,501,11
PR,Campo Mourão,60121,1925,2001,13
PR,Cândido de Abreu,12110,246,289,11
PR,Candói,10870,136,172,9
PR,Cantagalo,9702,142,307,9
PR,Capanema,15243,266,282,9
PR,Capitão Leônidas Marques,12038,197,177,9
PR,Carambeí,15733,565,386,11
PR,Carlópolis,11662,208,319,9
PR,Cascavel,206714,9620,8816,21
PR,Castro,52725,2663,1369,13
PR,Catanduvas,7287,105,144,9
PR,Centenário do Sul,9080,150,192,9
PR,Cerro Azul,13277,207,236,9
PR,Céu Azul,8919,162,140,9
PR,Chopinzinho,16070,363,456,9
PR,Cianorte,56017,2512,1782,10
PR,Cidade Gaúcha,9457,204,327,9
PR,Clevelândia,13786,417,184,9
PR,Colombo,128602,8534,9004,17
PR,Colorado,18859,433,685,9
PR,Congonhinhas,6953,72,215,9
PR,Conselheiro Mairinck,3141,38,50,9
PR,Contenda,11752,389,319,9
PR,Corbélia,13769,399,265,11
PR,Cornélio Procópio,37691,1045,1333,13
PR,Coronel Domingos Soares,5565,48,59,9
PR,Coronel Vivida,15795,520,425,9
PR,Corumbataí do Sul,3732,30,79,9
PR,Cruz Machado,14154,297,346,11
PR,Cruzeiro do Iguaçu,3665,32,25,9
PR,Cruzeiro do Oeste,16375,294,334,11
PR,Cruzeiro do Sul,4188,56,62,9
PR,Cruzmaltina,3014,24,50,9
PR,Curitiba,1289215,51495,96901,38
PR,Curiúva,11406,309,394,9
PR,Diamante D'Oeste,3849,29,67,9
PR,Diamante do Norte,4796,69,68,9
PR,Diamante do Sul,2803,11,84,9
PR,Dois Vizinhos,29306,899,476,11
PR,Douradina,6176,78,148,9
PR,Doutor Camargo,5016,81,118,9
PR,Doutor Ulysses,4808,35,229,9
PR,Enéas Marques,5509,53,78,9
PR,Engenheiro Beltrão,11144,199,163,9
PR,Entre Rios do Oeste,3428,30,200,9
PR,Esperança Nova,1988,6,16,9
PR,Espigão Alto do Iguaçu,4548,50,48,9
PR,Farol,2654,30,51,9
PR,Faxinal,12232,245,138,9
PR,Fazenda Rio Grande,60521,3289,3071,13
PR,Fênix,4158,19,73,9
PR,Fernandes Pinheiro,5654,70,83,9
PR,Figueira,6984,101,236,9
PR,Flor da Serra do Sul,4784,13,46,9
PR,Floraí,4490,54,74,9
PR,Floresta,5722,56,92,9
PR,Florestópolis,8549,94,392,9
PR,Flórida,2399,13,13,9
PR,Formosa do Oeste,6293,87,94,9
