uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
RJ,Angra dos Reis,129454,2845,4500,14
RJ,Aperibé,8999,89,142,9
RJ,Araruama,92990,1831,3370,17
RJ,Areal,9672,135,228,9
RJ,Armação dos Búzios,25868,420,956,9
RJ,Arraial do Cabo,28879,378,2107,9
RJ,Barra do Piraí,71099,1849,2579,15
RJ,Barra Mansa,135384,4062,8689,19
RJ,Belford Roxo,328777,17199,39286,25
RJ,Bom Jardim,21947,396,1051,11
RJ,Bom Jesus do Itabapoana,29353,349,726,13
RJ,Cabo Frio,146434,3478,6116,17
RJ,Cachoeiras de Macacu,45092,816,2139,13
RJ,Cambuci,12240,82,199,9
RJ,Campos dos Goytacazes,359323,8739,16232,25
RJ,Cantagalo,16471,295,445,11
RJ,Carapebus,12363,170,433,9
RJ,Cardoso Moreira,11621,100,184,9
RJ,Carmo,14272,122,263,11
RJ,Casimiro de Abreu,31670,576,2136,9
RJ,Comendador Levy Gasparian,7745,84,164,9
RJ,Conceição de Macabu,17631,257,354,11
RJ,Cordeiro,16698,342,582,11
RJ,Duas Barras,9710,81,814,9
RJ,Duque de Caxias,628164,25426,65015,29
RJ,Engenheiro Paulo de Frontin,10615,111,270,9
RJ,Guapimirim,40346,655,1119,9
RJ,Iguaba Grande,21857,270,811,11
RJ,Itaboraí,170825,5261,9120,15
RJ,Itaguaí,89731,1874,2171,17
RJ,Italva,11205,116,190,9
RJ,Itaocara,19315,217,490,11
RJ,Itaperuna,75770,1531,1929,13
RJ,Itatiaia,25182,483,764,11
RJ,Japeri,73471,1703,2012,11
RJ,Laje do Muriaé,7477,69,108,9
RJ,Macaé,156977,5101,7232,17
RJ,Macuco,7113,50,122,9
RJ,Magé,178009,4973,7573,17
RJ,Mangaratiba,34988,416,1082,13
RJ,Maricá,101282,2096,5494,17
RJ,Mendes,15464,251,521,9
RJ,Mesquita,137326,4235,9661,12
RJ,Miguel Pereira,22910,330,591,11
RJ,Miracema,22432,306,1836,11
RJ,Natividade,12447,132,944,11
RJ,Nilópolis,133984,3719,6864,12
RJ,Niterói,370958,19228,56581,21
RJ,Nova Friburgo,151045,4265,8604,21
RJ,Nova Iguaçu,583636,29783,64113,17
RJ,Paracambi,33886,560,1713,9
RJ,Paraíba do Sul,34148,692,1952,11
RJ,Paraty,28802,483,732,9
RJ,Paty do Alferes,22881,235,665,11
RJ,Petrópolis,244648,10480,25888,15
RJ,Pinheiral,17682,277,553,9
RJ,Piraí,21902,299,420,11
RJ,Porciúncula,14097,156,270,9
RJ,Porto Real,16931,145,639,11
RJ,Quatis,10393,146,201,9
RJ,Queimados,113059,3382,4204,17
RJ,Quissamã,18091,239,294,9
RJ,Resende,92757,2502,4474,17
RJ,Rio Bonito,45204,792,1340,10
RJ,Rio Claro,15609,201,390,11
RJ,Rio das Flores,8501,83,142,9
RJ,Rio das Ostras,84956,2139,4735,13
RJ,Rio de Janeiro,4898045,204110,473324,51
RJ,Santa Maria Madalena,8838,68,215,9
RJ,Santo Antônio de Pádua,33145,444,1953,13
RJ,São Fidélis,30753,338,691,9
RJ,São Francisco de Itabapoana,37180,404,1147,13
RJ,São Gonçalo,686207,41364,91021,27
RJ,São João da Barra,37631,446,606,9
RJ,São João de Meriti,368991,13105,27101,21
RJ,São José de Ubá,7195,57,99,9
RJ,São José do Vale do Rio Preto,15955,226,325,9
RJ,São Pedro da Aldeia,62903,1379,2164,10
RJ,São Sebastião do Alto,7969,56,430,9
RJ,Sapucaia,16856,249,453,11
RJ,Saquarema,63502,1040,3570,13
RJ,Seropédica,55002,1480,3184,10
RJ,Silva Jardim,18773,193,1402,9
RJ,Sumidouro,13730,183,221,9
RJ,Tanguá,24512,307,1131,13
RJ,Teresópolis,126595,4080,8881,12
RJ,Trajano de Morais,9140,65,198,9
RJ,Três Rios,61840,1533,2183,15
RJ,Valença,58723,1559,3206,12
RJ,Varre-Sai,8154,99,343,9
RJ,Vassouras,30232,485,703,13
RJ,Volta Redonda,223240,6454,15158,21
