uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
RN,Acari,9706,92,197,9
RN,Afonso Bezerra,9095,82,487,9
RN,Água Nova,2500,22,65,9
RN,Alexandria,10683,84,139,9
RN,Almino Afonso,4833,26,102,9
RN,Alto do Rodrigues,10589,131,577,9
RN,Angicos,9764,120,301,9
RN,Antônio Martins,5972,83,115,9
RN,Apodi,29033,463,613,13
RN,Areia Branca,20157,208,573,11
RN,Arês,11152,176,253,9
RN,Assú,40798,595,785,15
RN,Baía Formosa,6518,46,103,9
RN,Baraúna,18621,245,678,11
RN,Barcelona,4368,39,85,9
RN,Bento Fernandes,4919,52,118,9
RN,Boa Saúde,7781,100,476,9
RN,Bodó,3214,36,65,9
RN,Bom Jesus,7563,92,173,9
RN,Brejinho,9337,180,575,9
RN,Caiçara do Norte,5374,38,98,9
RN,Caiçara do Rio do Vento,3917,32,96,9
RN,Caicó,41480,628,1262,15
RN,Campo Grande,8473,117,213,9
RN,Campo Redondo,8168,121,520,9
RN,Canguaretama,22173,333,957,13
RN,Caraúbas,17888,241,249,11
RN,Carnaúba dos Dantas,6026,59,126,9
RN,Carnaubais,8445,102,110,9
RN,Ceará-Mirim,47223,1068,1454,15
RN,Cerro Corá,8771,87,188,9
RN,Coronel Ezequiel,5095,61,163,9
RN,Coronel João Pessoa,4135,32,98,9
RN,Cruzeta,7224,77,108,9
RN,Currais Novos,32746,728,1215,13
RN,Doutor Severiano,5679,32,74,9
RN,Encanto,4319,39,135,9
RN,Equador,4432,52,299,9
RN,Espírito Santo,6435,87,186,9
RN,Extremoz,22197,388,787,11
RN,Felipe Guerra,6995,142,130,9
RN,Fernando Pedroza,3310,23,55,9
RN,Florânia,8010,71,179,9
RN,Francisco Dantas,2643,20,58,9
RN,Frutuoso Gomes,3956,23,86,9
RN,Galinhos,2361,8,41,9
RN,Goianinha,18474,331,605,11
RN,Governador Dix-Sept Rosado,11339,161,280,9
RN,Grossos,7949,103,141,9
RN,Guamaré,13224,86,151,9
RN,Ielmo Marinho,9997,117,190,9
RN,Ipanguaçu,11641,121,192,11
RN,Ipueira,1930,8,40,9
RN,Itajá,6206,60,95,9
RN,Itaú,5255,72,106,9
RN,Jaçanã,6393,102,136,9
RN,Jandaíra,6197,59,125,9
RN,Janduís,4677,77,114,9
RN,Japi,5712,42,106,9
RN,Jardim de Angicos,2812,11,75,9
RN,Jardim de Piranhas,10229,204,259,9
RN,Jardim do Seridó,10533,136,227,9
RN,João Câmara,26387,360,484,11
RN,João Dias,2703,22,87,9
RN,José da Penha,5342,57,169,9
RN,Jucurutu,15431,147,267,11
RN,Jundiá,3712,28,80,9
RN,Lagoa D'Anta,5627,42,95,9
RN,Lagoa de Pedras,6482,96,216,9
RN,Lagoa de Velhos,3235,28,66,9
RN,Lagoa Nova,12500,209,295,11
RN,Lagoa Salgada,8542,187,277,9
RN,Lajes,9173,131,263,9
RN,Lajes Pintadas,5073,53,84,9
RN,Lucrécia,3265,60,57,9
RN,Luís Gomes,8163,99,273,9
RN,Macaíba,48828,1178,2734,15
RN,Macau,21928,272,433,13
RN,Major Sales,3022,15,84,9
