uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
RO,Alta Floresta do Oeste,19214,321,363,10
RO,Alto Alegre dos Parecis,8980,100,161,9
RO,Alto Paraíso,11957,164,810,11
RO,Alvorada do Oeste,12611,131,172,11
RO,Ariquemes,63466,1343,2671,13
RO,Buritis,22562,464,354,11
RO,Cabixi,4704,55,53,9
RO,Cacaulândia,3995,40,68,9
RO,Cacoal,61650,1756,1861,12
RO,Campo Novo de Rondônia,8065,58,116,9
RO,Candeias do Jamari,17753,236,403,9
RO,Castanheiras,3303,17,29,9
RO,Cerejeiras,13907,222,191,9
RO,Chupinguaia,6414,64,195,9
RO,Colorado do Oeste,13856,379,266,11
RO,Corumbiara,6274,66,69,9
RO,Costa Marques,9030,78,102,9
RO,Cujubim,10529,83,185,11
RO,Espigão do Oeste,22404,340,290,11
RO,Governador Jorge Teixeira,7813,57,84,9
RO,Guajará-Mirim,28042,464,540,11
RO,Itapuã do Oeste,6350,63,140,9
RO,Jaru,40853,727,666,15
RO,Ji-Paraná,78376,1920,1674,17
RO,Machadinho do Oeste,22700,322,228,11
RO,Ministro Andreazza,7347,105,116,9
RO,Mirante da Serra,9054,175,166,9
RO,Monte Negro,9939,99,313,9
RO,Nova Brasilândia do Oeste,14728,284,326,9
RO,Nova Mamoré,16981,236,237,11
RO,Nova União,5614,84,67,9
RO,Novo Horizonte do Oeste,7849,95,164,9
RO,Ouro Preto do Oeste,29716,626,638,9
RO,Parecis,3688,19,42,9
RO,Pimenta Bueno,27173,643,627,10
RO,Pimenteiras do Oeste,2353,8,17,9
RO,Porto Velho,319939,7203,40018,21
RO,Presidente Médici,17069,302,262,9
RO,Primavera de Rondônia,2756,26,27,9
RO,Rio Crespo,3052,22,20,9
RO,Rolim de Moura,38951,1084,797,9
RO,Santa Luzia do Oeste,7615,94,161,9
RO,São Felipe do Oeste,5101,53,109,9
RO,São Francisco do Guaporé,10982,188,128,11
RO,São Miguel do Guaporé,16383,220,222,11
RO,Seringueiras,9362,110,157,9
RO,Teixeirópolis,4171,41,50,9
RO,Theobroma,8595,57,476,9
RO,Urupá,9640,114,134,9
RO,Vale do Anari,6262,51,81,9
RO,Vale do Paraíso,6559,53,72,9
RO,Vilhena,58578,1716,1794,13
