uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
RS,Aceguá,3589,63,41,9
RS,Água Santa,2900,27,34,9
RS,Agudo,13374,325,176,9
RS,Ajuricaba,5877,68,59,9
RS,Alecrim,6167,88,88,9
RS,Alegrete,60725,1969,852,15
RS,Alegria,3134,28,41,9
RS,Almirante Tamandaré do Sul,1889,22,25,9
RS,Alpestre,5962,89,59,9
RS,Alto Alegre,1708,16,9,9
RS,Alto Feliz,2533,26,38,9
RS,Alvorada,119228,10741,10292,17
RS,Amaral Ferrador,4519,39,40,9
RS,Ametista do Sul,5025,59,147,9
RS,André da Rocha,1238,6,8,9
RS,Anta Gorda,4806,141,76,9
RS,Antônio Prado,11161,264,235,9
RS,Arambaré,3320,28,42,9
RS,Araricá,4870,96,75,9
RS,Aratiba,5991,55,81,9
RS,Arroio do Meio,14925,380,313,11
RS,Arroio do Padre,2598,25,35,9
RS,Arroio do Sal,6514,64,105,9
RS,Arroio do Tigre,10617,159,117,9
RS,Arroio dos Ratos,9506,359,192,9
RS,Arroio Grande,16201,280,183,9
RS,Arvorezinha,8460,135,98,9
RS,Augusto Pestana,6257,115,99,9
RS,Áurea,2888,41,36,9
RS,Bagé,91655,4102,2778,17
RS,Balneário Pinhal,7531,135,209,9
RS,Barão,4659,49,61,9
RS,Barão de Cotegipe,5708,120,94,9
RS,Barão do Triunfo,5210,62,40,9
RS,Barra do Guarita,2837,16,50,9
RS,Barra do Quaraí,2725,19,42,9
RS,Barra do Ribeiro,9196,281,172,9
RS,Barra do Rio Azul,1781,29,22,9
RS,Barra Funda,2619,43,17,9
RS,Barracão,4160,52,68,9
RS,Barros Cassal,7976,73,75,9
RS,Benjamin Constant do Sul,1912,8,21,9
RS,Bento Gonçalves,87227,4054,3570,17
RS,Boa Vista das Missões,1859,13,19,9
RS,Boa Vista do Buricá,5232,92,57,9
RS,Boa Vista do Cadeado,1956,16,18,9
RS,Boa Vista do Incra,2054,9,12,9
RS,Boa Vista do Sul,2426,29,30,9
RS,Bom Jesus,7880,152,99,9
RS,Bom Princípio,9748,233,170,9
RS,Bom Progresso,2048,2,58,9
RS,Bom Retiro do Sul,9268,164,129,9
RS,Boqueirão do Leão,5285,56,71,9
RS,Bossoroca,4794,111,61,9
RS,Bozano,2316,16,14,9
RS,Braga,2828,26,26,9
RS,Brochier,3630,41,87,9
RS,Butiá,16920,420,224,9
RS,Caçapava do Sul,27036,1322,739,11
RS,Cacequi,10482,134,121,9
RS,Cachoeira do Sul,69189,3029,1820,15
RS,Cachoeirinha,101240,6299,6180,17
RS,Cacique Doble,3793,66,74,9
RS,Caibaté,3888,47,65,9
RS,Caiçara,3992,35,32,9
RS,Camaquã,50840,2180,1815,15
RS,Camargo,2287,29,30,9
RS,Cambará do Sul,4828,64,74,9
RS,Campestre da Serra,2519,35,72,9
RS,Campina das Missões,5081,45,40,9
RS,Campinas do Sul,4446,50,172,9
RS,Campo Bom,50693,2343,1941,11
RS,Campo Novo,4191,37,55,9
RS,Campos Borges,3116,31,19,9
RS,Candelária,24496,619,420,13
RS,Cândido Godói,5388,31,42,9
RS,Candiota,8250,135,106,9
RS,Canela,30315,1429,800,11
RS,Canguçu,44602,1465,618,15
RS,Canoas,247770,20565,28182,21
RS,Canudos do Vale,1788,33,24,9
RS,Capão Bonito do Sul,1868,16,6,9
RS,Capão da Canoa,34704,1068,922,11
RS,Capão do Cipó,2677,19,20,9
RS,Capão do Leão,19873,936,474,11
RS,Capela de Santana,6871,159,312,9
RS,Capitão,2454,16,26,9
RS,Capivari do Sul,3346,46,63,9
RS,Caraá,5912,83,83,9
RS,Carazinho,47438,1704,1111,13
RS,Carlos Barbosa,21905,886,1618,11
RS,Carlos Gomes,1411,26,30,9
RS,Casca,7600,164,99,9
RS,Caseiros,2594,42,22,9
RS,Catuípe,7864,89,51,9
RS,Caxias do Sul,293417,12665,20350,23
RS,Centenário,2490,14,78,9
RS,Cerrito,5386,115,158,9
RS,Cerro Branco,3766,42,64,9
RS,Cerro Grande,2200,13,23,9
RS,Cerro Grande do Sul,6509,101,70,9
RS,Cerro Largo,8848,171,290,9
RS,Chapada,7421,121,64,9
RS,Charqueadas,25212,549,492,13
RS,Charrua,2278,18,29,9
RS,Chiapetta,3472,26,32,9
RS,Chuí,3602,127,77,9
RS,Chuvisca,3993,50,41,9
RS,Cidreira,12938,157,2131,9
RS,Ciríaco,4119,51,47,9
RS,Colinas,2193,23,26,9
RS,Colorado,3084,34,26,9
RS,Condor,5514,370,684,9
RS,Constantina,8357,108,72,9
RS,Coqueiro Baixo,1330,13,8,9
RS,Coqueiros do Sul,2267,18,9,9
RS,Coronel Barros,2358,11,15,9
RS,Coronel Bicaco,5802,62,71,9
RS,Coronel Pilar,1438,9,7,9
RS,Cotiporã,3362,85,65,9
RS,Coxilha,2430,26,17,9
RS,Crissiumal,11506,348,370,9
RS,Cristal,6100,96,101,9
RS,Cristal do Sul,2389,18,16,9
RS,Cruz Alta,48877,1171,1017,15
RS,Cruzaltense,1975,5,20,9
RS,Cruzeiro do Sul,10369,276,347,9
RS,David Canabarro,3882,32,154,9
RS,Derrubadas,2684,12,16,9
RS,Dezesseis de Novembro,2532,11,33,9
RS,Dilermando de Aguiar,2795,29,29,9
RS,Dois Irmãos,22935,982,746,9
RS,Dois Irmãos das Missões,1877,16,21,9
