uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
SE,Amparo de São Francisco,2569,18,42,9
SE,Aquidabã,15171,219,512,11
SE,Aracaju,397228,14015,54062,24
SE,Arauá,8996,120,255,9
SE,Areia Branca,12884,216,338,11
SE,Barra dos Coqueiros,20023,428,863,11
SE,Boquim,20197,264,549,11
SE,Brejo Grande,6319,91,135,9
SE,Campo do Brito,13790,217,392,11
SE,Canhoba,4141,46,84,9
SE,Canindé de São Francisco,22394,216,405,11
SE,Capela,23913,569,781,13
SE,Carira,16138,175,656,11
SE,Carmópolis,13398,188,314,9
SE,Cedro de São João,4930,38,365,9
SE,Cristinápolis,12803,149,179,11
SE,Cumbe,3803,35,106,9
SE,Divina Pastora,3673,41,64,9
SE,Estância,45834,1125,1693,15
SE,Feira Nova,5369,52,108,9
SE,Frei Paulo,11811,205,379,9
SE,Gararu,8558,149,234,9
SE,General Maynard,2541,21,54,9
SE,Graccho Cardoso,5514,70,193,9
SE,Ilha das Flores,7030,124,156,9
SE,Indiaroba,11641,102,502,11
SE,Itabaiana,64527,1819,2282,14
SE,Itabaianinha,27626,435,691,13
SE,Itabi,4381,52,160,9
SE,Itaporanga D'Ajuda,24924,458,748,13
SE,Japaratuba,13573,166,253,11
SE,Japoatã,10246,218,345,9
SE,Lagarto,70191,1528,2505,17
SE,Laranjeiras,20985,416,690,11
SE,Macambira,5994,74,132,9
SE,Malhada dos Bois,3712,44,90,9
SE,Malhador,9235,169,346,9
SE,Maruim,11885,222,463,11
SE,Moita Bonita,8960,149,311,9
SE,Monte Alegre de Sergipe,10750,108,271,9
SE,Muribeca,6608,66,107,9
SE,Neópolis,13859,166,308,11
SE,Nossa Senhora Aparecida,6835,95,179,9
SE,Nossa Senhora da Glória,25072,345,502,13
SE,Nossa Senhora das Dores,19082,531,925,11
SE,Nossa Senhora de Lourdes,5495,73,148,9
SE,Nossa Senhora do Socorro,100434,2924,4829,21
SE,Pacatuba,10863,152,239,9
SE,Pedra Mole,3076,21,98,9
SE,Pedrinhas,7297,72,425,9
SE,Pinhão,5238,68,152,9
SE,Pirambu,7514,93,238,9
SE,Poço Redondo,19117,217,348,11
SE,Poço Verde,17833,233,319,11
SE,Porto da Folha,21570,351,410,11
SE,Propriá,19649,333,422,11
SE,Riachão do Dantas,16003,234,507,11
SE,Riachuelo,7647,83,143,9
SE,Ribeirópolis,13551,236,562,11
SE,Rosário do Catete,8249,112,258,9
SE,Salgado,14854,245,390,11
SE,Santa Luzia do Itanhy,10471,176,304,9
SE,Santa Rosa de Lima,3774,52,91,9
SE,Santana do São Francisco,5473,68,80,9
SE,Santo Amaro das Brotas,8585,95,219,9
SE,São Cristóvão,53218,1446,2728,15
SE,São Domingos,7993,103,241,9
SE,São Francisco,3493,27,66,9
SE,São Miguel do Aleixo,3786,23,101,9
SE,Simão Dias,33054,527,969,13
SE,Siriri,6282,79,334,9
SE,Telha,3185,19,62,9
SE,Tobias Barreto,36473,422,718,15
SE,Tomar do Geru,9734,149,277,9
SE,Umbaúba,17352,321,392,11
