uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
SP,Adamantina,27751,1383,1355,9
SP,Adolfo,4318,70,139,9
SP,Aguaí,24886,930,1556,13
SP,Águas da Prata,6450,196,222,9
SP,Águas de Lindóia,14294,356,481,9
SP,Águas de Santa Bárbara,5237,101,141,9
SP,Águas de São Pedro,3707,48,91,9
SP,Agudos,29502,692,937,13
SP,Alambari,4612,64,116,9
SP,Alfredo Marcondes,3916,50,321,9
SP,Altair,3284,36,57,9
SP,Altinópolis,13376,252,337,11
SP,Alto Alegre,3852,66,143,9
SP,Alumínio,14739,267,318,9
SP,Álvares Florence,4277,47,100,9
SP,Álvares Machado,18138,904,1227,9
SP,Álvaro de Carvalho,3322,59,124,9
SP,Alvinlândia,2899,37,109,9
SP,Americana,171182,9540,11974,19
SP,Américo Brasiliense,27128,975,1390,13
SP,Américo de Campos,4879,53,105,9
SP,Amparo,53275,2693,3849,12
SP,Analândia,4454,77,90,9
SP,Andradina,44097,1162,1567,15
SP,Angatuba,17778,377,386,9
SP,Anhembi,6162,81,143,9
SP,Anhumas,3474,40,76,9
SP,Aparecida,29429,977,819,9
SP,Aparecida D'Oeste,4073,48,66,9
SP,Apiaí,20668,461,408,11
SP,Araçariguama,15515,246,316,11
SP,Araçatuba,142493,4891,6489,15
SP,Araçoiaba da Serra,23251,758,902,9
SP,Aramina,4709,54,53,9
SP,Arandu,5796,115,131,9
SP,Arapeí,2571,17,59,9
SP,Araraquara,163816,8730,18202,18
SP,Araras,95984,5014,5273,11
SP,Arco-Íris,2241,8,22,9
SP,Arealva,6519,136,178,9
SP,Areias,3524,36,66,9
SP,Areiópolis,8914,161,164,9
SP,Ariranha,7520,97,166,9
SP,Artur Nogueira,34715,1265,1580,12
SP,Arujá,64608,2551,4503,15
SP,Aspásia,1905,7,29,9
SP,Assis,70450,2760,2801,15
SP,Atibaia,104909,5701,7096,11
SP,Auriflama,11532,273,553,9
SP,Avaí,4383,72,186,9
SP,Avanhandava,7819,122,294,9
SP,Avaré,64274,2986,4094,13
SP,Bady Bassitt,12175,311,417,9
SP,Balbinos,1571,18,39,9
SP,Bálsamo,7143,123,117,10
SP,Bananal,8691,148,195,9
SP,Barão de Antonina,2664,30,66,9
SP,Barbosa,5582,70,123,9
SP,Bariri,24662,959,1045,9
SP,Barra Bonita,30510,916,1116,13
SP,Barra do Chapéu,4830,83,98,9
SP,Barra do Turvo,7442,59,129,9
SP,Barretos,85823,3057,3070,17
SP,Barrinha,23165,479,516,11
SP,Barueri,245042,9182,12222,21
SP,Bastos,17362,498,391,11
SP,Batatais,43030,2280,3120,15
SP,Bauru,263470,10781,21296,17
SP,Bebedouro,58141,2648,3050,11
SP,Bento de Abreu,2234,23,35,9
SP,Bernardino de Campos,8629,236,309,9
SP,Bertioga,41315,942,1096,9
SP,Bilac,6163,87,300,9
SP,Birigui,81971,4359,5193,17
SP,Biritiba Mirim,23615,682,676,13
SP,Boa Esperança do Sul,10249,253,222,9
SP,Bocaina,8947,335,510,9
SP,Bofete,8492,167,244,9
SP,Boituva,39847,1800,1832,13
SP,Bom Jesus dos Perdões,15796,507,573,11
SP,Bom Sucesso de Itararé,3376,28,44,9
SP,Borá,1214,9,22,9
SP,Boracéia,3768,57,85,9
SP,Borborema,11411,242,388,9
SP,Borebi,2215,22,120,9
SP,Botucatu,98134,4857,5974,11
SP,Bragança Paulista,121942,5628,6379,19
SP,Braúna,4255,57,88,9
SP,Brejo Alegre,2600,20,86,9
SP,Brodowski,16015,445,1582,11
SP,Brotas,18234,549,515,11
SP,Buri,15100,263,571,11
SP,Buritama,12893,190,324,11
SP,Buritizal,3645,33,56,9
SP,Cabrália Paulista,4209,52,118,9
SP,Cabreúva,33251,1234,1209,9
SP,Caçapava,69720,3336,4222,10
SP,Cachoeira Paulista,24971,578,984,13
SP,Caconde,14704,337,442,9
SP,Cafelândia,13576,314,259,11
SP,Caiabu,3699,50,48,9
SP,Caieiras,65514,2911,4753,10
SP,Caiuá,4152,39,367,9
SP,Cajamar,57754,2231,2582,15
SP,Cajati,23469,461,387,9
SP,Cajobi,8270,119,153,9
SP,Cajuru,18942,540,536,9
SP,Campina do Monte Alegre,4756,79,95,9
SP,Campinas,822044,46986,66444,33
SP,Campo Limpo Paulista,60203,2844,4094,13
SP,Campos do Jordão,39237,1391,1531,13
SP,Campos Novos Paulista,3999,32,140,9
SP,Cananéia,10259,110,175,9
SP,Canas,3904,53,62,9
SP,Cândido Mota,24770,972,710,9
SP,Cândido Rodrigues,2605,36,63,9
SP,Canitar,3966,73,247,9
SP,Capão Bonito,37070,1093,911,13
SP,Capela do Alto,13255,435,389,11
SP,Capivari,36468,1347,1745,13
SP,Caraguatatuba,84624,2605,3080,15
SP,Carapicuíba,284817,19745,23125,17
SP,Cardoso,10413,159,346,9
SP,Casa Branca,21008,591,663,11
SP,Cássia dos Coqueiros,3047,35,117,9
SP,Castilho,14543,247,285,11
SP,Catanduva,86834,3486,4138,13
SP,Catiguá,6012,136,273,9
SP,Cedral,6878,128,194,9
SP,Cerqueira César,14688,499,470,11
SP,Cerquilho,31557,1572,2498,13
SP,Cesário Lange,12028,506,455,11
SP,Charqueada,12857,296,290,11
SP,Chavantes,9740,284,486,9
SP,Clementina,5517,66,144,9
SP,Colina,14836,343,503,11
