uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
TO,Abreulândia,2063,10,57,9
TO,Aguiarnópolis,4012,30,67,9
TO,Aliança do Tocantins,4022,23,85,9
TO,Almas,4639,31,158,9
TO,Alvorada,6711,48,181,9
TO,Ananás,7349,35,68,9
TO,Angico,2770,11,34,9
TO,Aparecida do Rio Negro,3518,40,98,9
TO,Aragominas,4623,29,57,9
TO,Araguacema,5016,23,87,9
TO,Araguaçu,6804,49,95,9
TO,Araguaína,102878,1772,2779,17
TO,Araguanã,4053,21,43,9
TO,Araguatins,21155,150,298,11
TO,Arapoema,4792,25,226,9
TO,Arraias,7434,72,228,9
TO,Augustinópolis,11996,103,174,11
TO,Aurora do Tocantins,2930,17,90,9
TO,Axixá do Tocantins,8943,57,181,9
TO,Babaçulândia,6999,51,156,9
TO,Bandeirantes do Tocantins,2572,7,17,9
TO,Barra do Ouro,3748,20,43,9
TO,Barrolândia,4240,24,62,9
TO,Bernardo Sayão,3145,28,66,9
TO,Bom Jesus do Tocantins,2918,17,52,9
TO,Brasilândia do Tocantins,1631,8,23,9
TO,Brejinho de Nazaré,3725,21,95,9
TO,Buriti do Tocantins,6548,34,145,9
TO,Cachoeirinha,2132,8,40,9
TO,Campos Lindos,6082,31,69,9
TO,Cariri do Tocantins,3177,13,41,9
TO,Carmolândia,2370,6,42,9
TO,Carrasco Bonito,3378,22,81,9
TO,Caseara,3770,10,69,9
TO,Centenário,2084,5,38,9
TO,Chapada da Natividade,2584,19,40,9
TO,Chapada de Areia,1832,6,22,9
TO,Colinas do Tocantins,21657,264,375,13
TO,Colméia,6786,48,149,9
TO,Combinado,3403,24,52,9
TO,Conceição do Tocantins,3278,18,128,9
TO,Couto de Magalhães,3932,29,74,9
TO,Cristalândia,5245,38,73,9
TO,Crixás do Tocantins,1425,3,17,9
TO,Darcinópolis,4025,17,92,9
TO,Dianópolis,12173,124,316,11
TO,Divinópolis do Tocantins,5412,33,93,9
TO,Dois Irmãos do Tocantins,4647,32,101,9
TO,Dueré,3470,32,76,9
TO,Esperantina,6030,37,110,9
TO,Fátima,2782,14,125,9
TO,Figueirópolis,4288,17,44,9
TO,Filadélfia,6562,45,269,9
TO,Formoso do Araguaia,14468,107,185,11
TO,Fortaleza do Tabocão,2734,16,58,9
TO,Goianorte,4025,18,75,9
TO,Goiatins,8261,53,160,9
TO,Guaraí,15826,177,438,11
TO,Gurupi,55257,1014,1550,13
TO,Ipueiras,1505,7,26,9
TO,Itacajá,5672,41,206,9
TO,Itaguatins,4951,28,81,9
TO,Itapiratins,3129,25,44,9
TO,Itaporã do Tocantins,2177,7,18,9
TO,Jaú do Tocantins,2895,13,39,9
TO,Juarina,1956,7,42,9
TO,Lagoa da Confusão,7783,58,95,9
TO,Lagoa do Tocantins,2681,15,99,9
TO,Lajeado,3334,13,34,9
TO,Lavandeira,1561,5,32,9
TO,Lizarda,2919,11,93,9
TO,Luzinópolis,2342,12,30,9
TO,Marianópolis do Tocantins,2999,19,54,9
TO,Mateiros,1835,8,55,9
TO,Maurilândia do Tocantins,3005,11,57,9
TO,Miracema do Tocantins,13965,100,340,11
TO,Miranorte,9456,93,251,9
TO,Monte do Carmo,4407,23,91,9
TO,Monte Santo do Tocantins,2313,10,29,9
TO,Muricilândia,2377,15,40,9
TO,Natividade,6090,35,139,9
TO,Nazaré,4170,19,53,9
TO,Nova Olinda,8400,42,115,9
TO,Nova Rosalândia,2592,4,129,9
TO,Novo Acordo,3827,18,112,9
TO,Novo Alegre,1817,7,29,9
TO,Novo Jardim,1970,9,45,9
TO,Oliveira de Fátima,1845,7,15,9
TO,Palmas,172344,3995,6542,19
TO,Palmeirante,3633,15,62,9
TO,Palmeiras do Tocantins,4443,44,44,9
TO,Palmeirópolis,5181,29,142,9
TO,Paraíso do Tocantins,31546,559,695,13
TO,Paranã,7574,54,199,9
TO,Pau D'Arco,3844,17,147,9
TO,Pedro Afonso,9135,67,117,9
TO,Peixe,7666,49,242,9
TO,Pequizeiro,4223,24,75,9
TO,Pindorama do Tocantins,3735,22,52,9
TO,Piraquê,2688,19,152,9
TO,Pium,5306,18,77,9
TO,Ponte Alta do Bom Jesus,3275,20,81,9
TO,Ponte Alta do Tocantins,5321,30,76,9
TO,Porto Alegre do Tocantins,2149,14,46,9
TO,Porto Nacional,37014,417,715,13
TO,Praia Norte,6186,25,110,9
TO,Presidente Kennedy,2660,10,66,9
TO,Pugmil,1937,5,55,9
TO,Recursolândia,2890,6,80,9
TO,Riachinho,3748,16,48,9
TO,Rio da Conceição,1790,10,46,9
TO,Rio dos Bois,2169,14,59,9
TO,Rio Sono,3781,6,52,9
TO,Sampaio,3324,22,41,9
TO,Sandolândia,3535,16,52,9
TO,Santa Fé do Araguaia,4871,29,95,9
TO,Santa Maria do Tocantins,2345,9,37,9
TO,Santa Rita do Tocantins,1762,8,29,9
TO,Santa Rosa do Tocantins,3555,23,85,9
TO,Santa Tereza do Tocantins,2384,9,64,9
TO,Santa Terezinha do Tocantins,2218,4,25,9
TO,São Bento do Tocantins,4461,21,62,9
TO,São Félix do Tocantins,1373,5,27,9
TO,São Miguel do Tocantins,7490,51,137,9
TO,São Salvador do Tocantins,2176,9,50,9
TO,São Sebastião do Tocantins,3370,17,98,9
TO,São Valério da Natividade,3874,14,36,9
TO,Silvanópolis,3984,28,99,9
TO,Sítio Novo do Tocantins,7982,37,133,9
TO,Sucupira,1733,4,17,9
TO,Taguatinga,10126,86,287,9
TO,Taipas do Tocantins,1667,8,44,9
TO,Talismã,2439,11,44,9
TO,Tocantínia,4620,23,104,9
TO,Tocantinópolis,15337,135,255,11
TO,Tupirama,1792,10,22,9
TO,Tupiratins,1789,9,52,9
TO,Wanderlândia,7476,68,137,9
TO,Xambioá,8840,56,104,9
