name,voters,votos_brancos,votos_nulos,vagas_vereadores,url
Acari,9706,92,197,9,https://www.todapolitica.com/eleicoes-2016/candidatos-acari-rn/
Afonso Bezerra,9095,82,487,9,https://www.todapolitica.com/eleicoes-2016/candidatos-afonso-bezerra-rn/
Água Nova,2500,22,65,9,https://www.todapolitica.com/eleicoes-2016/candidatos-agua-nova-rn/
Alexandria,10683,84,139,9,https://www.todapolitica.com/eleicoes-2016/candidatos-alexandria-rn/
Almino Afonso,4833,26,102,9,https://www.todapolitica.com/eleicoes-2016/candidatos-almino-afonso-rn/
Alto do Rodrigues,10589,131,577,9,https://www.todapolitica.com/eleicoes-2016/candidatos-alto-do-rodrigues-rn/
Angicos,9764,120,301,9,https://www.todapolitica.com/eleicoes-2016/candidatos-angicos-rn/
Antônio Martins,5972,83,115,9,https://www.todapolitica.com/eleicoes-2016/candidatos-antonio-martins-rn/
Apodi,29033,463,613,13,https://www.todapolitica.com/eleicoes-2016/candidatos-apodi-rn/
Areia Branca,20157,208,573,11,https://www.todapolitica.com/eleicoes-2016/candidatos-areia-branca-rn/
Arês,11152,176,253,9,https://www.todapolitica.com/eleicoes-2016/candidatos-ares-rn/
Assú,40798,595,785,15,https://www.todapolitica.com/eleicoes-2016/candidatos-assu-rn/
Baía Formosa,6518,46,103,9,https://www.todapolitica.com/eleicoes-2016/candidatos-baia-formosa-rn/
Baraúna,18621,245,678,11,https://www.todapolitica.com/eleicoes-2016/candidatos-barauna-rn/
Barcelona,4368,39,85,9,https://www.todapolitica.com/eleicoes-2016/candidatos-barcelona-rn/
Bento Fernandes,4919,52,118,9,https://www.todapolitica.com/eleicoes-2016/candidatos-bento-fernandes-rn/
Boa Saúde,7781,100,476,9,https://www.todapolitica.com/eleicoes-2016/candidatos-boa-saude-rn/
Bodó,3214,36,65,9,https://www.todapolitica.com/eleicoes-2016/candidatos-bodo-rn/
Bom Jesus,7563,92,173,9,https://www.todapolitica.com/eleicoes-2016/candidatos-bom-jesus-rn/
Brejinho,9337,180,575,9,https://www.todapolitica.com/eleicoes-2016/candidatos-brejinho-rn/
Caiçara do Norte,5374,38,98,9,https://www.todapolitica.com/eleicoes-2016/candidatos-caicara-do-norte-rn/
Caiçara do Rio do Vento,3917,32,96,9,https://www.todapolitica.com/eleicoes-2016/candidatos-caicara-do-rio-do-vento-rn/
Caicó,41480,628,1262,15,https://www.todapolitica.com/eleicoes-2016/candidatos-caico-rn/
Campo Grande,8473,117,213,9,https://www.todapolitica.com/eleicoes-2016/candidatos-campo-grande-rn/
Campo Redondo,8168,121,520,9,https://www.todapolitica.com/eleicoes-2016/candidatos-campo-redondo-rn/
Canguaretama,22173,333,957,13,https://www.todapolitica.com/eleicoes-2016/candidatos-canguaretama-rn/
Caraúbas,17888,241,249,11,https://www.todapolitica.com/eleicoes-2016/candidatos-caraubas-rn/
Carnaúba dos Dantas,6026,59,126,9,https://www.todapolitica.com/eleicoes-2016/candidatos-carnauba-dos-dantas-rn/
Carnaubais,8445,102,110,9,https://www.todapolitica.com/eleicoes-2016/candidatos-carnaubais-rn/
Ceará-Mirim,47223,1068,1454,15,https://www.todapolitica.com/eleicoes-2016/candidatos-ceara-mirim-rn/
Cerro Corá,8771,87,188,9,https://www.todapolitica.com/eleicoes-2016/candidatos-cerro-cora-rn/
Coronel Ezequiel,5095,61,163,9,https://www.todapolitica.com/eleicoes-2016/candidatos-coronel-ezequiel-rn/
Coronel João Pessoa,4135,32,98,9,https://www.todapolitica.com/eleicoes-2016/candidatos-coronel-joao-pessoa-rn/
Cruzeta,7224,77,108,9,https://www.todapolitica.com/eleicoes-2016/candidatos-cruzeta-rn/
Currais Novos,32746,728,1215,13,https://www.todapolitica.com/eleicoes-2016/candidatos-currais-novos-rn/
